,nb_reuse,tools,nb_own,list_own,nb_contrib,list_contrib,nb_wf,list_wf
0,3,['Minimap2'],3,"['nf-core', 'ABMicroBioinf', 'ksumngs']",106,"['Mxrcon', 'kevbrick', 'Midnighter', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'apeltzer', 'kmurat1', 'lskatz', 'Erkison', 'tamara-hodgetts', 'charles-plessy', 'Darcy220606', 'rannick', 'oschwengers', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'alexandregilardet', 'tamuanand', 'SPPearce', 'jinmingda', 'jianhong', 'pditommaso', 'hseabolt', 'SusiJo', 'mjakobs', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'mjcipriano', 'fbdtemme', 'sateeshperi', 'MillironX', 'muffato', 'xiaoli-dong', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'nickhsmith', 'MGordon09', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'pericsson', 'phue', 'lescai', 'annacprice', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",3,"['magph', 'modules', 'nf-modules']"
1,4,"['MetaPhlAn', 'Bowtie']",4,"['nf-core', 'jianhong', 'ABMicroBioinf', 'xiaoli-dong']",106,"['Mxrcon', 'kevbrick', 'Midnighter', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'apeltzer', 'kmurat1', 'lskatz', 'Erkison', 'tamara-hodgetts', 'charles-plessy', 'Darcy220606', 'rannick', 'oschwengers', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'alexandregilardet', 'tamuanand', 'SPPearce', 'jinmingda', 'jianhong', 'pditommaso', 'hseabolt', 'SusiJo', 'mjakobs', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'mjcipriano', 'fbdtemme', 'sateeshperi', 'MillironX', 'muffato', 'xiaoli-dong', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'nickhsmith', 'MGordon09', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'pericsson', 'phue', 'lescai', 'annacprice', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",3,"['magph', 'shotgun', 'modules']"
2,4,['Bracken'],3,"['xmuyulab', 'ABMicroBioinf', 'xiaoli-dong']",3,"['xiaoli-dong', 'lmyiing', 'huhehaotecrystal']",3,"['scRNAseq_pipelines', 'pathogen', 'magph']"
3,2,['Filtlong'],1,['ABMicroBioinf'],1,['xiaoli-dong'],2,"['pathogen', 'magph']"
4,12,['SAMtools'],5,"['ASKAP-EMUCat', 'ABMicroBioinf', 'xiaoli-dong', 'sguizard', 'xmuyulab']",8,"['jmarvil', 'lmyiing', 'peterwharrison', 'davepallot', 'xiaoli-dong', 'sguizard', 'Alexey-ebi', 'huhehaotecrystal']",5,"['pathogen', 'emucat_workflows', 'isoseq', 'magph', 'scRNAseq_pipelines']"
5,38,['SAMtools'],12,"['harryscholes', 'vincenthhu', 'nf-core', 'mahesh-panchal', 'raygozag', 'harleenduggal', 'jianhong', 'sanger-tol', 'ABMicroBioinf', 'xiaoli-dong', 'sarseq', 'cidgoh']",165,"['rsuchecki', 'Mxrcon', 'nf-core-bot', 'sven1103', 'saramonzon', 'Galithil', 'kviljoen', 'ktrns', 'aanil', 'kevbrick', 'Midnighter', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'na399', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'robsyme', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'csawye01', 'santiagorevale', 'alneberg', 'apeltzer', 'kmurat1', 'stevin-wilson', 'lskatz', 'Erkison', 'tamara-hodgetts', 'duanjunhyq', 'charles-plessy', 'Darcy220606', 'jordwil', 'rannick', 'colindaven', 'orionzhou', 'oschwengers', 'cying111', 'Jeremy1805', 'amayer21', 'AntoniaSchuster', 'avantonder', 'klkeys', 'drejom', 'silviamorins', 'vezzi', 'suzannejin', 'fmalmeida', 'sysbiocoder', 'riederd', 'ewels', 'grst', 'fullama', 'jcurado-flomics', 'alexandregilardet', 'george-hall-ucl', 'marchoeppner', 'SPPearce', 'jburos', 'tamuanand', 'harryscholes', 'vincenthhu', 'jinmingda', 'jianhong', 'pditommaso', 'drpowell', 'olgabot', 'hseabolt', 'SusiJo', 'mjakobs', 'm3hdad', 'lassefolkersen', 'chris-cheshire', 'rfenouil', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'mvanins', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'pcantalupo', 'mashehu', 'jfy133', 'lpantano', 'candiceh08', 'senthil10', 'spficklin', 'Emiller88', 'anwarMZ', 'rpetit3', 'JoseEspinosa', 'yuxuth', 'BABS-STP1', 'd4straub', 'antunderwood', 'Danilo2771', 'projectoriented', 'bunop', 'mjcipriano', 'fbdtemme', 'sateeshperi', 'MillironX', 'priyanka-surana', 'pranathivemuri', 'muffato', 'xiaoli-dong', 'veeravalli', 'Gwennid', 'paulklemm', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'matrulda', 'SpikyClip', 'MiguelJulia', 'Hammarn', 'sofiahaglund', 'sidorov-si', 'adomingues', 'kojix2', 'jun-wan', 'GCJMackenzie', 'zxl124', 'skrakau', 'nickhsmith', 'MGordon09', 'svarona', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'ErikaKvalem', 'ppericard', 'maxibor', 'pericsson', 'phue', 'lwratten', 'lescai', 'annacprice', 'RHReynolds', 'praveenraj2018', 'raygozag', 'chuan-wang', 'bjohnnyd', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'sarseq', 'erikrikarddaniel']",18,"['nf-core-westest', 'RNASEQ', 'readmapping', 'nfcore-rnaseq', 'test_nfcore_workflow_chain', 'nf-core-hicar', 'giga', 'sarseq2', 'viralrecon', 'cidgoh_qc', 'ssds', 'rnavar', 'modules', 'magph', 'universalModule', 'nanoseq', 'shotgun', 'rnaseq']"
6,37,['Minimap2'],7,"['nf-core', 'ABMicroBioinf', 'xiaoli-dong', 'chelauk', 'sguizard', 'quinlan-lab', 'erikrikarddaniel']",23,"['chris-cheshire', 'maxulysse', 'nf-core-bot', 'xiaoli-dong', 'sguizard', 'cying111', 'yuukiiwa', 'ignaciot', 'GhadaNOUAIRIA', 'ewels', 'chelauk', 'lwratten', 'KevinMenden', 'brwnj', 'charlotte-west', 'dladd', 'jordeu', 'csawye01', 'cjfields', 'alneberg', 'apeltzer', 'drpatelh', 'erikrikarddaniel']",13,"['pathogen', 'nf-core-tamanmd', 'nf-feelnc', 'preon', 'nascent', 'nanoseq', 'magph', 'nf-tb', 'magmap', 'pfitmap-nextflow', 'nf-core-blasr', 'nanostring', 'cutandrun']"
7,11,['GUPPY'],10,"['ASKAP-EMUCat', 'jgolob', 'ABMicroBioinf', 'xiaoli-dong', 'LehmannN', 'chelauk', 'sguizard', 'austinreidmanny', 'cancerbioinformatics', 'erikrikarddaniel']",11,"['jmarvil', 'jgolob', 'xiaoli-dong', 'radhika-kataria', 'davepallot', 'chelauk', 'LehmannN', 'sguizard', 'austinreidmanny', 'sminot', 'erikrikarddaniel']",10,"['pathogen', 'emucat_workflows', 'raven-nf', 'scAnnotatiONT', 'maliampi', 'nf-feelnc', 'magph', 'magmap', 'nf-core-umi_preprocessing', 'PATCH-pipeline']"
8,10,['Diamond'],10,"['nf-core', 'ABMicroBioinf', 'xiaoli-dong', 'LehmannN', 'PI-Bioinfo', 'AGROSAVIABIOUNIT', 'austinreidmanny', 'xmuyulab', 'bactopia', 'erikrikarddaniel']",25,"['maxulysse', 'Mxrcon', 'nf-core-bot', 'fmaguire', 'xiaoli-dong', 'Accio', 'turrisita', 'LehmannN', 'cying111', 'yuukiiwa', 'TGotwig', 'lmyiing', 'GhadaNOUAIRIA', 'ThamLe2601', 'ewels', 'drpatelh', 'lwratten', 'austinreidmanny', 'rpetit3', 'KevinMenden', 'huhehaotecrystal', 'csawye01', 'alneberg', 'AGROSAVIABIOUNIT', 'erikrikarddaniel']",9,"['raven-nf', 'scAnnotatiONT', 'pfitmap-nextflow', 'MT', 'magph', 'thamlee-nxf-rnaseq', 'nanoseq', 'scRNAseq_pipelines', 'bactopia']"
9,29,['FastQC'],15,"['vincenthhu', 'nf-core', 'mahesh-panchal', 'virus-evolution', 'jianhong', 'harleenduggal', 'raygozag', 'CDCgov', 'sanger-tol', 'hawaiidatascience', 'rbpisupati', 'ABMicroBioinf', 'xiaoli-dong', 'razielar', 'cidgoh']",167,"['rsuchecki', 'Mxrcon', 'nf-core-bot', 'sven1103', 'saramonzon', 'Galithil', 'kviljoen', 'ktrns', 'aanil', 'Midnighter', 'kevbrick', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'na399', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'robsyme', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'alneberg', 'apeltzer', 'kmurat1', 'stevin-wilson', 'lskatz', 'Erkison', 'tamara-hodgetts', 'duanjunhyq', 'charles-plessy', 'Darcy220606', 'jordwil', 'rannick', 'colindaven', 'Puumanamana', 'oschwengers', 'orionzhou', 'Jeremy1805', 'amayer21', 'AntoniaSchuster', 'avantonder', 'klkeys', 'drejom', 'fmalmeida', 'suzannejin', 'riederd', 'silviamorins', 'sysbiocoder', 'vezzi', 'ewels', 'grst', 'fullama', 'jcurado-flomics', 'razielar', 'alexandregilardet', 'tamuanand', 'SPPearce', 'marchoeppner', 'george-hall-ucl', 'jburos', 'vincenthhu', 'jinmingda', 'jianhong', 'pditommaso', 'drpowell', 'rbpisupati', 'olgabot', 'hseabolt', 'SusiJo', 'mjakobs', 'm3hdad', 'lassefolkersen', 'chris-cheshire', 'rfenouil', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'cjjossart', 'mvanins', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'pcantalupo', 'mashehu', 'jfy133', 'lpantano', 'candiceh08', 'senthil10', 'spficklin', 'Emiller88', 'anwarMZ', 'rpetit3', 'JoseEspinosa', 'yuxuth', 'BABS-STP1', 'mciprianoCDC', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'fbdtemme', 'mjcipriano', 'sateeshperi', 'MillironX', 'priyanka-surana', 'pranathivemuri', 'muffato', 'xiaoli-dong', 'Gwennid', 'veeravalli', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'paulklemm', 'matrulda', 'SpikyClip', 'MiguelJulia', 'Hammarn', 'sofiahaglund', 'rmcolq', 'sidorov-si', 'adomingues', 'kojix2', 'GCJMackenzie', 'jun-wan', 'zxl124', 'skrakau', 'nickhsmith', 'MGordon09', 'svarona', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'ErikaKvalem', 'ppericard', 'pericsson', 'phue', 'lescai', 'annacprice', 'leebrian', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'chuan-wang', 'raygozag', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",20,"['pathogen', 'test_nfcore_workflow_chain', 'rnavar', 'mycosnp-nf', 'modules', 'universalModule', 'nf-core-westest', 'RNASEQ', 'viralrecon', 'taxprofiler', 'readmapping', 'nfcore-rnaseq', 'lncRNA_annotation_cufflinks_nf', 'metaflowmics', 'magph', 'phylopipe', 'rnaseq', 'nf-core-hicar', 'cidgoh_qc', 'nf-haplocaller']"
