,Unnamed: 0,nb_reuse,tools,nb_own,list_own,nb_contrib,list_contrib,nb_wf,list_wf
0,0,3,['Minimap2'],3,"['nf-core', 'ABMicroBioinf', 'ksumngs']",106,"['Mxrcon', 'kevbrick', 'Midnighter', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'apeltzer', 'kmurat1', 'lskatz', 'Erkison', 'tamara-hodgetts', 'charles-plessy', 'Darcy220606', 'rannick', 'oschwengers', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'alexandregilardet', 'tamuanand', 'SPPearce', 'jinmingda', 'jianhong', 'pditommaso', 'hseabolt', 'SusiJo', 'mjakobs', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'mjcipriano', 'fbdtemme', 'sateeshperi', 'MillironX', 'muffato', 'xiaoli-dong', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'nickhsmith', 'MGordon09', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'pericsson', 'phue', 'lescai', 'annacprice', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",3,"['magph', 'modules', 'nf-modules']"
1,1,4,"['MetaPhlAn', 'Bowtie']",4,"['nf-core', 'jianhong', 'ABMicroBioinf', 'xiaoli-dong']",106,"['Mxrcon', 'kevbrick', 'Midnighter', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'apeltzer', 'kmurat1', 'lskatz', 'Erkison', 'tamara-hodgetts', 'charles-plessy', 'Darcy220606', 'rannick', 'oschwengers', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'alexandregilardet', 'tamuanand', 'SPPearce', 'jinmingda', 'jianhong', 'pditommaso', 'hseabolt', 'SusiJo', 'mjakobs', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'mjcipriano', 'fbdtemme', 'sateeshperi', 'MillironX', 'muffato', 'xiaoli-dong', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'nickhsmith', 'MGordon09', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'pericsson', 'phue', 'lescai', 'annacprice', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",3,"['magph', 'shotgun', 'modules']"
5,5,38,['SAMtools'],12,"['harryscholes', 'vincenthhu', 'nf-core', 'mahesh-panchal', 'raygozag', 'harleenduggal', 'jianhong', 'sanger-tol', 'ABMicroBioinf', 'xiaoli-dong', 'sarseq', 'cidgoh']",165,"['rsuchecki', 'Mxrcon', 'nf-core-bot', 'sven1103', 'saramonzon', 'Galithil', 'kviljoen', 'ktrns', 'aanil', 'kevbrick', 'Midnighter', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'na399', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'robsyme', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'csawye01', 'santiagorevale', 'alneberg', 'apeltzer', 'kmurat1', 'stevin-wilson', 'lskatz', 'Erkison', 'tamara-hodgetts', 'duanjunhyq', 'charles-plessy', 'Darcy220606', 'jordwil', 'rannick', 'colindaven', 'orionzhou', 'oschwengers', 'cying111', 'Jeremy1805', 'amayer21', 'AntoniaSchuster', 'avantonder', 'klkeys', 'drejom', 'silviamorins', 'vezzi', 'suzannejin', 'fmalmeida', 'sysbiocoder', 'riederd', 'ewels', 'grst', 'fullama', 'jcurado-flomics', 'alexandregilardet', 'george-hall-ucl', 'marchoeppner', 'SPPearce', 'jburos', 'tamuanand', 'harryscholes', 'vincenthhu', 'jinmingda', 'jianhong', 'pditommaso', 'drpowell', 'olgabot', 'hseabolt', 'SusiJo', 'mjakobs', 'm3hdad', 'lassefolkersen', 'chris-cheshire', 'rfenouil', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'mvanins', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'pcantalupo', 'mashehu', 'jfy133', 'lpantano', 'candiceh08', 'senthil10', 'spficklin', 'Emiller88', 'anwarMZ', 'rpetit3', 'JoseEspinosa', 'yuxuth', 'BABS-STP1', 'd4straub', 'antunderwood', 'Danilo2771', 'projectoriented', 'bunop', 'mjcipriano', 'fbdtemme', 'sateeshperi', 'MillironX', 'priyanka-surana', 'pranathivemuri', 'muffato', 'xiaoli-dong', 'veeravalli', 'Gwennid', 'paulklemm', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'matrulda', 'SpikyClip', 'MiguelJulia', 'Hammarn', 'sofiahaglund', 'sidorov-si', 'adomingues', 'kojix2', 'jun-wan', 'GCJMackenzie', 'zxl124', 'skrakau', 'nickhsmith', 'MGordon09', 'svarona', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'ErikaKvalem', 'ppericard', 'maxibor', 'pericsson', 'phue', 'lwratten', 'lescai', 'annacprice', 'RHReynolds', 'praveenraj2018', 'raygozag', 'chuan-wang', 'bjohnnyd', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'sarseq', 'erikrikarddaniel']",18,"['nf-core-westest', 'RNASEQ', 'readmapping', 'nfcore-rnaseq', 'test_nfcore_workflow_chain', 'nf-core-hicar', 'giga', 'sarseq2', 'viralrecon', 'cidgoh_qc', 'ssds', 'rnavar', 'modules', 'magph', 'universalModule', 'nanoseq', 'shotgun', 'rnaseq']"
6,6,37,['Minimap2'],7,"['nf-core', 'ABMicroBioinf', 'xiaoli-dong', 'chelauk', 'sguizard', 'quinlan-lab', 'erikrikarddaniel']",23,"['chris-cheshire', 'maxulysse', 'nf-core-bot', 'xiaoli-dong', 'sguizard', 'cying111', 'yuukiiwa', 'ignaciot', 'GhadaNOUAIRIA', 'ewels', 'chelauk', 'lwratten', 'KevinMenden', 'brwnj', 'charlotte-west', 'dladd', 'jordeu', 'csawye01', 'cjfields', 'alneberg', 'apeltzer', 'drpatelh', 'erikrikarddaniel']",13,"['pathogen', 'nf-core-tamanmd', 'nf-feelnc', 'preon', 'nascent', 'nanoseq', 'magph', 'nf-tb', 'magmap', 'pfitmap-nextflow', 'nf-core-blasr', 'nanostring', 'cutandrun']"
8,8,10,['Diamond'],10,"['nf-core', 'ABMicroBioinf', 'xiaoli-dong', 'LehmannN', 'PI-Bioinfo', 'AGROSAVIABIOUNIT', 'austinreidmanny', 'xmuyulab', 'bactopia', 'erikrikarddaniel']",25,"['maxulysse', 'Mxrcon', 'nf-core-bot', 'fmaguire', 'xiaoli-dong', 'Accio', 'turrisita', 'LehmannN', 'cying111', 'yuukiiwa', 'TGotwig', 'lmyiing', 'GhadaNOUAIRIA', 'ThamLe2601', 'ewels', 'drpatelh', 'lwratten', 'austinreidmanny', 'rpetit3', 'KevinMenden', 'huhehaotecrystal', 'csawye01', 'alneberg', 'AGROSAVIABIOUNIT', 'erikrikarddaniel']",9,"['raven-nf', 'scAnnotatiONT', 'pfitmap-nextflow', 'MT', 'magph', 'thamlee-nxf-rnaseq', 'nanoseq', 'scRNAseq_pipelines', 'bactopia']"
9,9,29,['FastQC'],15,"['vincenthhu', 'nf-core', 'mahesh-panchal', 'virus-evolution', 'jianhong', 'harleenduggal', 'raygozag', 'CDCgov', 'sanger-tol', 'hawaiidatascience', 'rbpisupati', 'ABMicroBioinf', 'xiaoli-dong', 'razielar', 'cidgoh']",167,"['rsuchecki', 'Mxrcon', 'nf-core-bot', 'sven1103', 'saramonzon', 'Galithil', 'kviljoen', 'ktrns', 'aanil', 'Midnighter', 'kevbrick', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'na399', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'robsyme', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'alneberg', 'apeltzer', 'kmurat1', 'stevin-wilson', 'lskatz', 'Erkison', 'tamara-hodgetts', 'duanjunhyq', 'charles-plessy', 'Darcy220606', 'jordwil', 'rannick', 'colindaven', 'Puumanamana', 'oschwengers', 'orionzhou', 'Jeremy1805', 'amayer21', 'AntoniaSchuster', 'avantonder', 'klkeys', 'drejom', 'fmalmeida', 'suzannejin', 'riederd', 'silviamorins', 'sysbiocoder', 'vezzi', 'ewels', 'grst', 'fullama', 'jcurado-flomics', 'razielar', 'alexandregilardet', 'tamuanand', 'SPPearce', 'marchoeppner', 'george-hall-ucl', 'jburos', 'vincenthhu', 'jinmingda', 'jianhong', 'pditommaso', 'drpowell', 'rbpisupati', 'olgabot', 'hseabolt', 'SusiJo', 'mjakobs', 'm3hdad', 'lassefolkersen', 'chris-cheshire', 'rfenouil', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'cjjossart', 'mvanins', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'pcantalupo', 'mashehu', 'jfy133', 'lpantano', 'candiceh08', 'senthil10', 'spficklin', 'Emiller88', 'anwarMZ', 'rpetit3', 'JoseEspinosa', 'yuxuth', 'BABS-STP1', 'mciprianoCDC', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'fbdtemme', 'mjcipriano', 'sateeshperi', 'MillironX', 'priyanka-surana', 'pranathivemuri', 'muffato', 'xiaoli-dong', 'Gwennid', 'veeravalli', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'paulklemm', 'matrulda', 'SpikyClip', 'MiguelJulia', 'Hammarn', 'sofiahaglund', 'rmcolq', 'sidorov-si', 'adomingues', 'kojix2', 'GCJMackenzie', 'jun-wan', 'zxl124', 'skrakau', 'nickhsmith', 'MGordon09', 'svarona', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'ErikaKvalem', 'ppericard', 'pericsson', 'phue', 'lescai', 'annacprice', 'leebrian', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'chuan-wang', 'raygozag', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",20,"['pathogen', 'test_nfcore_workflow_chain', 'rnavar', 'mycosnp-nf', 'modules', 'universalModule', 'nf-core-westest', 'RNASEQ', 'viralrecon', 'taxprofiler', 'readmapping', 'nfcore-rnaseq', 'lncRNA_annotation_cufflinks_nf', 'metaflowmics', 'magph', 'phylopipe', 'rnaseq', 'nf-core-hicar', 'cidgoh_qc', 'nf-haplocaller']"
10,10,29,['Diamond'],9,"['nf-core', 'ABMicroBioinf', 'xiaoli-dong', 'chelauk', 'sguizard', 'sheenamt', 'quinlan-lab', 'xmuyulab', 'erikrikarddaniel']",22,"['chris-cheshire', 'nf-core-bot', 'lbarquist', 'xiaoli-dong', 'bozmik', 'sguizard', 'ignaciot', 'lmyiing', 'GhadaNOUAIRIA', 'ewels', 'chelauk', 'KevinMenden', 'huhehaotecrystal', 'brwnj', 'charlotte-west', 'dladd', 'reganhayward', 'jordeu', 'cjfields', 'sheenamt', 'apeltzer', 'erikrikarddaniel']",12,"['pathogen', 'nf-feelnc', 'hrd_pipeline', 'preon', 'nascent', 'magph', 'dualrnaseq', 'pfitmap-nextflow', 'scRNAseq_pipelines', 'nf-core-blasr', 'nanostring', 'cutandrun']"
11,11,19,"['SAMtools', 'BWA']",11,"['vincenthhu', 'nf-core', 'mahesh-panchal', 'raygozag', 'harleenduggal', 'jianhong', 'nf-modules', 'hawaiidatascience', 'ABMicroBioinf', 'rbpisupati', 'xiaoli-dong']",66,"['chris-cheshire', 'rfenouil', 'rsuchecki', 'maxulysse', 'nf-core-bot', 'sven1103', 'pranathivemuri', 'xiaoli-dong', 'veeravalli', 'paulklemm', 'Galithil', 'matrulda', 'SpikyClip', 'jordwil', 'Hammarn', 'sofiahaglund', 'kviljoen', 'mvanins', 'colindaven', 'aanil', 'adomingues', 'Puumanamana', 'jun-wan', 'zxl124', 'skrakau', 'orionzhou', 'c-mertes', 'pcantalupo', 'amayer21', 'mashehu', 'mahesh-panchal', 'drejom', 'apeltzer', 'lpantano', 'silviamorins', 'abhi18av', 'vezzi', 'ppericard', 'senthil10', 'ewels', 'jemten', 'grst', 'Emiller88', 'FriederikeHanssen', 'na399', 'JoseEspinosa', 'marchoeppner', 'george-hall-ucl', 'jburos', 'KevinMenden', 'vincenthhu', 'yuxuth', 'BABS-STP1', 'raygozag', 'd4straub', 'chuan-wang', 'robsyme', 'pditommaso', 'drpowell', 'jianhong', 'rbpisupati', 'olgabot', 'ggabernet', 'alneberg', 'arontommi', 'drpatelh']",12,"['nf-core-westest', 'pathogen', 'nf-core-hicar', 'nfcore-rnaseq', 'test_nfcore_workflow_chain', 'gatk', 'RNASEQ', 'nf-haplocaller', 'metaflowmics', 'magph', 'universalModule', 'rnaseq']"
13,13,7,['SAMtools'],6,"['nf-core', 'mahesh-panchal', 'jianhong', 'nf-modules', 'ABMicroBioinf', 'xiaoli-dong']",106,"['Mxrcon', 'kevbrick', 'Midnighter', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'apeltzer', 'kmurat1', 'lskatz', 'Erkison', 'tamara-hodgetts', 'charles-plessy', 'Darcy220606', 'rannick', 'oschwengers', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'alexandregilardet', 'tamuanand', 'SPPearce', 'jinmingda', 'jianhong', 'pditommaso', 'hseabolt', 'SusiJo', 'mjakobs', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'mjcipriano', 'fbdtemme', 'sateeshperi', 'MillironX', 'muffato', 'xiaoli-dong', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'nickhsmith', 'MGordon09', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'pericsson', 'phue', 'lescai', 'annacprice', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",5,"['gatk', 'test_nfcore_workflow_chain', 'modules', 'magph', 'universalModule']"
14,14,5,['Bowtie'],5,"['nf-core', 'NCBI-Codeathons', 'cirrina', 'ABMicroBioinf', 'xiaoli-dong']",111,"['Mxrcon', 'ksaunders73', 'kevbrick', 'Midnighter', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'apeltzer', 'kmurat1', 'lskatz', 'Erkison', 'tamara-hodgetts', 'alexa-salsbury', 'charles-plessy', 'Darcy220606', 'rannick', 'oschwengers', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'alexandregilardet', 'tamuanand', 'SPPearce', 'jinmingda', 'jianhong', 'pditommaso', 'hseabolt', 'SusiJo', 'mjakobs', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'mjcipriano', 'fbdtemme', 'sateeshperi', 'MillironX', 'muffato', 'xiaoli-dong', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'nickhsmith', 'MGordon09', 'emnilsson', 'heuermh', 'mahesh-panchal', 'YanFangBio', 'drice-codeathons', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'pericsson', 'phue', 'lescai', 'annacprice', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'cirrina', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",5,"['pathogen', 'modules', 'magph', 'ctg-rnaseq', 'lung-rna-seq']"
