,nb_reuse,tools,nb_own,list_own,nb_contrib,list_contrib,nb_wf,list_wf
0,3,['Minimap2'],3,"['ABMicroBioinf', 'ksumngs', 'nf-core']",106,"['subwaystation', 'praveenraj2018', 'suzannejin', 'ramprasadn', 'projectoriented', 'ljmesi', 'fullama', 'GCJMackenzie', 'Midnighter', 'avantonder', 'yocra3', 'drpatelh', 'Emiller88', 'nickhsmith', 'Mark-S-Hill', 'nebfield', 'c-mertes', 'i-pletenev', 'JoseEspinosa', 'stevekm', 'MGordon09', 'Danilo2771', 'sruthipsuresh', 'njspix', 'mjakobs', 'lescai', 'tamara-hodgetts', 'antunderwood', 'maxulysse', 'Gwennid', 'santiagorevale', 'sofstam', 'SPPearce', 'FelixKrueger', 'apeltzer', 'MillironX', 'FloWuenne', 'spficklin', 'pericsson', 'arontommi', 'FriederikeHanssen', 'louperelo', 'charles-plessy', 'thanhleviet', 'lassefolkersen', 'chris-cheshire', 'alexandregilardet', 'candiceh08', 'ntoda03', 'grst', 'rannick', 'muffato', 'riederd', 'andersgs', 'heuermh', 'sima-r', 'BatoolMM', 'Darcy220606', 'jfnavarro', 'fbdtemme', 'mahesh-panchal', 'rpetit3', 'KevinMenden', 'annacprice', 'aleksandrabliznina', 'mjcipriano', 'jianhong', 'oschwengers', 'ajodeh-juma', 'ggabernet', 'sguizard', 'emnilsson', 'sysbiocoder', 'maxibor', 'pditommaso', 'piotr-faba-ardigen', 'bjohnnyd', 'lskatz', 'Jeremy1805', 'kmurat1', 'SusiJo', 'Erkison', 'bunop', 'Mxrcon', 'yuukiiwa', 'sateeshperi', 'tamuanand', 'AntoniaSchuster', 'kevbrick', 'mashehu', 'erikrikarddaniel', 'ewels', 'hseabolt', 'sidorov-si', 'RHReynolds', 'jinmingda', 'phue', 'jemten', 'kojix2', 'xiaoli-dong', 'd4straub', 'fmalmeida', 'kaurravneet4123', 'klkeys', 'jfy133', 'abhi18av']",3,"['nf-modules', 'magph', 'modules']"
1,4,"['MetaPhlAn', 'Bowtie']",4,"['xiaoli-dong', 'jianhong', 'ABMicroBioinf', 'nf-core']",106,"['subwaystation', 'praveenraj2018', 'suzannejin', 'ramprasadn', 'projectoriented', 'ljmesi', 'fullama', 'GCJMackenzie', 'Midnighter', 'avantonder', 'yocra3', 'drpatelh', 'Emiller88', 'nickhsmith', 'Mark-S-Hill', 'nebfield', 'c-mertes', 'i-pletenev', 'JoseEspinosa', 'stevekm', 'MGordon09', 'Danilo2771', 'sruthipsuresh', 'njspix', 'mjakobs', 'lescai', 'tamara-hodgetts', 'antunderwood', 'maxulysse', 'Gwennid', 'santiagorevale', 'sofstam', 'SPPearce', 'FelixKrueger', 'apeltzer', 'MillironX', 'FloWuenne', 'spficklin', 'pericsson', 'arontommi', 'FriederikeHanssen', 'louperelo', 'charles-plessy', 'thanhleviet', 'lassefolkersen', 'chris-cheshire', 'alexandregilardet', 'candiceh08', 'ntoda03', 'grst', 'rannick', 'muffato', 'riederd', 'andersgs', 'heuermh', 'sima-r', 'BatoolMM', 'Darcy220606', 'jfnavarro', 'fbdtemme', 'mahesh-panchal', 'rpetit3', 'KevinMenden', 'annacprice', 'aleksandrabliznina', 'mjcipriano', 'jianhong', 'oschwengers', 'ajodeh-juma', 'ggabernet', 'sguizard', 'emnilsson', 'sysbiocoder', 'maxibor', 'pditommaso', 'piotr-faba-ardigen', 'bjohnnyd', 'lskatz', 'Jeremy1805', 'kmurat1', 'SusiJo', 'Erkison', 'bunop', 'Mxrcon', 'yuukiiwa', 'sateeshperi', 'tamuanand', 'AntoniaSchuster', 'kevbrick', 'mashehu', 'erikrikarddaniel', 'ewels', 'hseabolt', 'sidorov-si', 'RHReynolds', 'jinmingda', 'phue', 'jemten', 'kojix2', 'xiaoli-dong', 'd4straub', 'fmalmeida', 'kaurravneet4123', 'klkeys', 'jfy133', 'abhi18av']",3,"['shotgun', 'magph', 'modules']"
2,4,['Bracken'],3,"['xiaoli-dong', 'ABMicroBioinf', 'xmuyulab']",3,"['huhehaotecrystal', 'xiaoli-dong', 'lmyiing']",3,"['scRNAseq_pipelines', 'pathogen', 'magph']"
3,2,['Filtlong'],1,['ABMicroBioinf'],1,['xiaoli-dong'],2,"['pathogen', 'magph']"
4,12,['SAMtools'],5,"['ABMicroBioinf', 'sguizard', 'xiaoli-dong', 'ASKAP-EMUCat', 'xmuyulab']",8,"['huhehaotecrystal', 'davepallot', 'lmyiing', 'sguizard', 'peterwharrison', 'xiaoli-dong', 'Alexey-ebi', 'jmarvil']",5,"['scRNAseq_pipelines', 'pathogen', 'emucat_workflows', 'isoseq', 'magph']"
5,15,['SAMtools'],9,"['ABMicroBioinf', 'cidgoh', 'mahesh-panchal', 'harleenduggal', 'xiaoli-dong', 'raygozag', 'jianhong', 'harryscholes', 'nf-core']",76,"['alneberg', 'Galithil', 'senthil10', 'pranathivemuri', 'sofiahaglund', 'c-mertes', 'chris-cheshire', 'drpowell', 'na399', 'ggabernet', 'SpikyClip', 'stevin-wilson', 'amayer21', 'skrakau', 'adomingues', 'chuan-wang', 'ktrns', 'saramonzon', 'pditommaso', 'rfenouil', 'lpantano', 'drejom', 'pcantalupo', 'grst', 'matrulda', 'rsuchecki', 'ppericard', 'duanjunhyq', 'nf-core-bot', 'mvanins', 'antunderwood', 'maxulysse', 'vezzi', 'jburos', 'heuermh', 'silviamorins', 'drpatelh', 'kviljoen', 'robsyme', 'BABS-STP1', 'mashehu', 'sven1103', 'kevbrick', 'george-hall-ucl', 'JoseEspinosa', 'apeltzer', 'ewels', 'mahesh-panchal', 'harryscholes', 'olgabot', 'paulklemm', 'KevinMenden', 'jun-wan', 'Hammarn', 'orionzhou', 'Emiller88', 'anwarMZ', 'zxl124', 'colindaven', 'jemten', 'marchoeppner', 'arontommi', 'xiaoli-dong', 'FriederikeHanssen', 'd4straub', 'raygozag', 'jordwil', 'aanil', 'veeravalli', 'svarona', 'ErikaKvalem', 'jianhong', 'stevekm', 'jcurado-flomics', 'MiguelJulia', 'abhi18av']",10,"['universalModule', 'nfcore-rnaseq', 'cidgoh_qc', 'ssds', 'giga', 'magph', 'RNASEQ', 'rnaseq', 'test_nfcore_workflow_chain', 'viralrecon']"
6,15,['Minimap2'],8,"['telatin', 'ABMicroBioinf', 'chelauk', 'erikrikarddaniel', 'sguizard', 'xiaoli-dong', 'canceromics', 'nf-core']",25,"['alneberg', 'telatin', 'chris-cheshire', 'chelauk', 'sguizard', 'canceromics', 'likelet', 'juneb4869', 'nf-core-bot', 'jordeu', 'maxulysse', 'cying111', 'drpatelh', 'yuukiiwa', 'lwratten', 'dladd', 'erikrikarddaniel', 'ewels', 'cjfields', 'KevinMenden', 'vmikk', 'charlotte-west', 'csawye01', 'GhadaNOUAIRIA', 'xiaoli-dong']",9,"['nf-feelnc', 'MeRIPseqPipe', 'pathogen', 'nanoseq', 'cutandrun', 'nf-core-blasr', 'magph', 'nextflow-example', 'pfitmap-nextflow']"
7,11,['GUPPY'],10,"['ABMicroBioinf', 'cancerbioinformatics', 'chelauk', 'erikrikarddaniel', 'sguizard', 'LehmannN', 'xiaoli-dong', 'austinreidmanny', 'ASKAP-EMUCat', 'jgolob']",11,"['davepallot', 'radhika-kataria', 'chelauk', 'erikrikarddaniel', 'sminot', 'sguizard', 'LehmannN', 'xiaoli-dong', 'austinreidmanny', 'jgolob', 'jmarvil']",10,"['nf-core-umi_preprocessing', 'nf-feelnc', 'PATCH-pipeline', 'pathogen', 'emucat_workflows', 'raven-nf', 'magph', 'scAnnotatiONT', 'maliampi', 'magmap']"
8,10,['Diamond'],10,"['ABMicroBioinf', 'erikrikarddaniel', 'LehmannN', 'xiaoli-dong', 'austinreidmanny', 'bactopia', 'AGROSAVIABIOUNIT', 'PI-Bioinfo', 'xmuyulab', 'nf-core']",25,"['alneberg', 'lmyiing', 'TGotwig', 'austinreidmanny', 'nf-core-bot', 'maxulysse', 'Mxrcon', 'cying111', 'AGROSAVIABIOUNIT', 'drpatelh', 'yuukiiwa', 'lwratten', 'turrisita', 'ThamLe2601', 'erikrikarddaniel', 'ewels', 'LehmannN', 'rpetit3', 'KevinMenden', 'Accio', 'fmaguire', 'huhehaotecrystal', 'csawye01', 'GhadaNOUAIRIA', 'xiaoli-dong']",9,"['scRNAseq_pipelines', 'nanoseq', 'raven-nf', 'thamlee-nxf-rnaseq', 'MT', 'magph', 'bactopia', 'scAnnotatiONT', 'pfitmap-nextflow']"
9,14,['FastQC'],9,"['rbpisupati', 'ABMicroBioinf', 'mahesh-panchal', 'xiaoli-dong', 'harleenduggal', 'razielar', 'jianhong', 'hawaiidatascience', 'nf-core']",77,"['pranathivemuri', 'stevin-wilson', 'amayer21', 'ljmesi', 'rsuchecki', 'drejom', 'matrulda', 'mvanins', 'silviamorins', 'drpatelh', 'robsyme', 'george-hall-ucl', 'paulklemm', 'Hammarn', 'Emiller88', 'jordwil', 'ErikaKvalem', 'c-mertes', 'JoseEspinosa', 'stevekm', 'alneberg', 'Galithil', 'sofiahaglund', 'na399', 'skrakau', 'chuan-wang', 'saramonzon', 'rfenouil', 'ppericard', 'antunderwood', 'maxulysse', 'kviljoen', 'Puumanamana', 'apeltzer', 'jun-wan', 'zxl124', 'arontommi', 'svarona', 'FriederikeHanssen', 'veeravalli', 'jcurado-flomics', 'rbpisupati', 'chris-cheshire', 'drpowell', 'adomingues', 'ktrns', 'lpantano', 'grst', 'nf-core-bot', 'heuermh', 'vezzi', 'razielar', 'sven1103', 'mahesh-panchal', 'KevinMenden', 'colindaven', 'jianhong', 'senthil10', 'ggabernet', 'SpikyClip', 'maxibor', 'pditommaso', 'pcantalupo', 'jburos', 'BABS-STP1', 'mashehu', 'ewels', 'olgabot', 'orionzhou', 'jemten', 'marchoeppner', 'xiaoli-dong', 'd4straub', 'aanil', 'MiguelJulia', 'jfy133', 'abhi18av']",11,"['pathogen', 'universalModule', 'nf-haplocaller', 'viralrecon', 'taxprofiler', 'magph', 'RNASEQ', 'test_nfcore_workflow_chain', 'metaflowmics', 'rnaseq', 'lncRNA_annotation_cufflinks_nf']"
