,nb_reuse,tool,nb_proc,prop_proc,nb_own,prop_own,nb_wf,prop_wf
0,1.0,"[['DBETH'], ['UNITE rDNA'], ['TRAP', 'Minimap2', 'Racon'], ['GraphAligner'], ['ALRA', 'SAMtools', 'SAMtools', 'Minimap2'], ['cshl_fastx_renamer'], ['GATK', 'VCFtools'], ['Salmon', 'FastQC', 'STAR', 'SAMtools', 'MultiQC', 'BEDTools'], ['Bpipe', 'Jellyfish'], ['MEME'], ['VGA', 'GraphAligner'], ['RepeatModeler'], ['FastME'], ['Tablet', 'BEDTools', 'BEDTools', 'BEDTools'], ['HiCUP'], ['FreeBayes', 'VCFFilterJS'], ['SingleCellNet'], ['BetaVoid', 'BWA'], ['BWA', 'BWA', 'SAMtools', 'SAMtools', 'pilon'], ['ALRA'], ['Minimap2', 'SAMtools', 'SAMtools', 'SAMtools'], ['SAMPLE', 'peakC'], ['SortMeRna'], ['VMCMC'], ['BWA', 'SAMtools', 'R2'], ['preseq'], ['Percolator'], ['MarCat'], ['Minimap2', 'Racon'], ['Gnumap'], ['Tablet', 'Tablet'], ['FastQC', 'BWA', 'SAMtools'], ['BiocParallel', 'Salmon'], ['GEMMA'], ['Flexbar'], ['MCL'], ['Salmon', 'RNASEQR'], ['NEEDS'], ['Scallop-LR'], ['grabseqs'], ['opt-SNE'], ['splots'], ['LAmbDA'], ['nanopolish', 'SAMtools'], ['Bowtie', 'SAMtools', 'SAMtools', 'SAMtools', 'VARIANT', 'SAMtools'], ['PepBuild'], ['SICER'], ['SAMtools', 'BiocParallel'], ['sLDA'], ['SPEED', 'HHCompare', 'Trinity'], ['seqtk', 'Fastqz', 'SAMtools'], ['spkTools'], ['wtdbg2', 'ANACONDA'], ['Crossmapper'], ['FreeBayes', 'BCFtools'], ['NoD'], ['VarSome'], ['YAKUSA'], ['Reporter', 'getnumber', 'Reporter', 'ParTIES', 'Bowtie', 'SAMtools'], ['NGMLR'], ['Match'], ['Delly2'], ['XVector'], ['GeneLink', 'XTRACT', 'seqtk'], ['Platanus_B', 'Platanus_B', 'Platanus_B'], ['BCFtools', 'VCFtools'], ['TraceMontage'], ['Btrim'], ['VGA', 'seqtk'], ['BWA', 'Bowtie'], ['SAMtools', 'MultiQC'], ['Swarm'], ['WebLogo'], ['SVM2'], ['MetaPhlAn'], ['shuffleseq'], ['Intervene'], ['HGCS'], ['seqtk', 'Bowtie'], ['miRA'], ['EPIC'], ['Picard', 'SAMtools'], ['BWA', 'SAMtools', 'SAMtools', 'SAMtools', 'htseqcount'], ['assemblyget'], ['HLungDB'], ['miRNAFold'], ['LLCT'], ['deML'], ['Jasmine', 'BCFtools', 'BCFtools', 'BCFtools'], ['seqtk', 'Cutadapt'], ['DNaseR'], ['Minimap2', 'ANACONDA'], ['PSIPRED'], ['Kraken'], ['KrakenUniq'], ['MTR'], ['coveragegff', 'bedGraphToBigWig'], ['TeXP'], ['NGMLR', 'SAMtools', 'SAMtools', 'SAMtools', 'VARIANT', 'SAMtools'], ['STAR', 'SAMtools', 'Sambamba'], ['Sumer'], ['BCFtools', 'mdp', 'BCFtools'], ['ThermoRawFileParser'], ['Atlas'], ['idconvert'], ['Crux'], ['AIVAR'], ['GEMINI'], ['SnpSift'], ['GATK', 'BiocParallel'], ['Rsamtools'], ['cuffcompare'], ['Bayexer'], ['cshl_fastx_clipper', 'cshl_fastx_collapser'], ['SAMtools', 'GATK', 'STAR'], ['GATK', 'MarkDuplicates (IP)'], ['STAR', 'ALIGN'], ['DEPTH', 'sctransform', 'PeakHeights'], ['OnTAD'], ['RFMix'], ['SAMtools', 'BaMM', 'SAMtools'], ['iConvert'], ['SAMtools', 'PNC'], ['Subjunc'], ['BamTools'], ['Bandage'], ['MiXCR'], ['MetaPhlAn', 'Bowtie'], ['pyseer'], ['SAMBLASTER'], ['QueryOr'], ['Raster3D'], ['CSHMM', 'seqtk'], ['Delly2', 'BCFtools'], ['SAMtools', 'BCFtools', 'BCFtools', 'BCFtools', 'Bowtie'], ['seqret', 'SAMtools'], ['cuffdiff'], ['CapSim'], ['Minia'], ['VCFtools', 'BEDTools', 'VCFFilterJS', 'BEDTools'], ['deBGA-VARA'], ['SAMtools', 'VGA'], ['mblastall'], ['K-Branches'], ['sabre'], ['GOA'], ['SurfCut'], ['SAMtools', 'StringTie'], ['BLAST', 'QueryOr', 'NeoFuse'], ['KmerGenie'], ['GeneWalk'], ['BTEVAL'], ['Telescope'], ['GIV'], ['cshl_fastx_reverse_complement'], ['dammit'], ['pcaMethods'], ['peakC'], ['MapDamage'], ['jpHMM'], ['SAMtools', 'seqtk'], ['Prokka', 'CRISPRseek', 'scds', 'UniqueProt'], ['MAESTRO', 'SAMtools'], ['Minimap2', 'SAMtools', 'BamTools'], ['BWA', 'SAMtools', 'SAMtools', 'BEDTools'], ['contaminationX'], ['BCFtools', 'BEDTools'], ['needle'], ['LSD']]",169,39.76470588235294,169.0,7.816836262719703,169.0,5.040262451535938
1,2.0,"[['BWA', 'SAMtools', 'SAMtools', 'SAMtools', 'seqtk', 'BEDTools', 'BEDTools'], ['CS-PSeq-Gen'], ['Platypus'], ['GATK', 'mQC', 'QUALITY', 'mdp'], ['PGS'], ['SAMtools', 'SAMtools', 'HOGENOM'], ['G-BLASTN', 'meme_fimo', 'SAMtools'], ['GMAP'], ['Sniffles'], ['LiftOver'], ['Ancestry_HMM-S'], ['vcfR'], ['MUSCLE'], ['BiocParallel', 'VCFtools'], ['SAME-clustering'], ['PaWFE'], ['FreeBayes', 'VCFtools'], ['RACE', 'VCFtools', 'PLINK'], ['SpectraST'], ['Centrifuge'], ['BioMe', 'TEMP'], ['Lighter'], ['gmap_build'], ['Tablet'], ['QResearch', 'eFetch Snp', 'XTRACT'], ['ReferenceSeeker'], ['BLASTP-ACC', 'SAMtools'], ['FastQC', 'assemblyget', 'TTS mapping', 'Binning'], ['DFAST'], ['EzClermont'], ['Bowtie', 'SAMtools', 'Picard'], ['Kalign'], ['matrix-clustering'], ['MAGNA++'], ['Comet'], ['BWA', 'Sambamba'], ['RACE', 'PLINK'], ['NGSUtils'], ['NEWT'], ['Minimap2', 'MFPaQ'], ['AgileFileConverter'], ['GCTA'], ['CANU', 'Cgrid'], ['FTG'], ['BinSanity'], ['BLESS'], ['verifyBamID'], ['kallisto', 'SAMtools'], ['PyMOL'], ['CladePP'], ['HHypermap'], ['GSNAP'], ['Sambamba', 'Sambamba', 'Sambamba', 'BEDTools'], ['RSAT oligo-analysis'], ['PLINK', 'ANACONDA'], ['Superimpose', 'VCFtools', 'BCFtools', 'BCFtools', 'fPOP', 'EMPOP', 'BCFtools'], ['ART'], ['RJPrimers'], ['plotcoverage'], ['SAMBLASTER', 'SAMtools'], ['FuMa'], ['regioneR'], ['fastafrombed', 'kallisto'], ['FoldX'], ['Cgrid'], ['VCFtools', 'BCFtools'], ['PCA'], ['AMModels', 'rMotif'], ['BEDTools', 'TEMP'], ['dan'], ['vt', 'vt', 'BCFtools', 'BCFtools', 'BCFtools']]",71,16.705882352941178,96.0,4.440333024976873,121.0,3.6087086191470323
2,3.0,"[['NiceBot'], ['GTZ', 'GTZ'], ['BamTools', 'SAMtools'], ['BlobTools'], ['GATK', 'MuTect'], ['vt', 'vt'], ['preseq', 'preseq'], ['FLASH'], ['ClonalFrameML'], ['bammds'], ['Poretools'], ['Arf'], ['PIRATE'], ['RepeatMasker'], ['Pindel'], ['ITSxpress'], ['SLIM'], ['ACTION'], ['Unicycler'], ['Bracken'], ['BCFtools', 'BEDTools', 'BEDTools', 'BEDTools'], ['Phylosift', 'Phylosift'], ['MFPaQ'], ['SAMtools', 'AIVAR'], ['mQC'], ['Minimap2', 'SAMtools', 'Picard'], ['getorf']]",27,6.352941176470588,49.0,2.266419981498612,67.0,1.998210557709514
3,4.0,"[['SHAPEIT'], ['PEAR'], ['BiocParallel'], ['MAESTRO'], ['SAMtools', 'htseqcount'], ['BUSCO'], ['umis'], ['Bowtie', 'SAMBLASTER', 'SAMtools', 'SAMtools'], ['EXTRACT'], ['BWA', 'SAMBLASTER', 'SAMtools'], ['Ganon'], ['BWA', 'SAMtools', 'Picard'], ['Circos'], ['mrsFAST'], ['vcfanno'], ['RAxML'], ['TEMP'], ['KMC'], ['bamstats'], ['VGA', 'VGA', 'VGA', 'VGA'], ['TopHat'], ['MLST'], ['SAMtools', 'SAMtools', 'SAMtools', 'SAMtools', 'BEDTools']]",23,5.411764705882352,53.0,2.4514338575393153,73.0,2.177154786758127
4,5.0,"[['refgenie'], ['MetaCarvel'], ['BLAT'], ['Trinity'], ['seqtk', 'BEDTools', 'BEDTools']]",5,1.1764705882352942,14.0,0.6475485661424607,20.0,0.5964807634953773
5,6.0,"[['gffcompare'], ['RAxML-NG'], ['EmbedSOM', 'opt-SNE'], ['Cufflinks'], ['EmbedSOM', 'bammds'], ['CITE-seq-Count'], ['Rgin'], ['EmbedSOM', 'Gnumap'], ['vt'], ['STAR', 'SAMtools'], ['VCFFilterJS'], ['CANU'], ['MMseqs'], ['MAVisto'], ['QTLtools'], ['wtdbg2'], ['sortgff'], ['fastafrombed', 'MEME'], ['nanopolish'], ['RSAT peak-motifs']]",20,4.705882352941177,56.0,2.590194264569843,92.0,2.7438115120787354
6,7.0,"[['WhatsHap'], ['meme_fimo'], ['Racon'], ['BioMe'], ['Bismark'], ['Minimap2', 'SAMtools', 'SAMtools'], ['EmbedSOM', 'PCA'], ['SeqPrep'], ['Bedops'], ['Mash'], ['BCFtools', 'BCFtools', 'ANACONDA'], ['TMAP']]",12,2.823529411764706,41.0,1.8963922294172062,56.0,1.6701461377870561
7,8.0,"[['HyPhy'], ['eFetch Snp'], ['TRUmiCount', 'TRUmiCount'], ['MMseqs', 'MMseqs', 'MMseqs'], ['Filtlong'], ['cshl_fastx_trimmer'], ['BWA', 'SAMtools', 'SAMtools', 'SAMtools'], ['snpEff'], ['VGA', 'VGA', 'VGA'], ['fastafrombed', 'MUSCLE'], ['cshl_fastx_collapser'], ['BCFtools', 'BCFtools', 'BEDTools'], ['gfkb'], ['BFRM']]",14,3.294117647058824,41.0,1.8963922294172062,70.0,2.0876826722338206
8,9.0,"[['SKAT'], ['BUStools'], ['Sfold'], ['SAMtools', 'SAMtools', 'Picard'], ['SAMtools', 'VarScan'], ['shovill'], ['Bowtie', 'SAMtools']]",7,1.647058823529412,34.0,1.572617946345976,42.0,1.2526096033402923
9,10.0,"[['BLASTP-ACC'], ['rMotif'], ['USEARCH'], ['trimAl']]",4,0.9411764705882352,14.0,0.6475485661424607,19.0,0.5666567253206084
