,list_contrib,list_own,list_wf,nb_contrib,nb_own,nb_reuse,nb_wf,tools
0,{'ortzf'},{'vibbits'},{'NextFlow_pipelines'},1.0,1.0,1.0,1.0,"['sampletrees', 'PowerShell', 'tmax', 'Annot', 'metabolic', 'metabolic']"
1,{'octavia-c'},{'biomedbigdata'},{'nf-core-circRNA-sponging'},1.0,1.0,2.0,1.0,['CIRCexplorer2']
2,"{'erikrikarddaniel', 'alexandregilardet', 'arontommi', 'annacprice', 'antunderwood', 'JoseEspinosa', 'kmurat1', 'Darcy220606', 'Midnighter', 'nebfield', 'Mxrcon', 'sofstam', 'd4straub', 'nickhsmith', 'rannick', 'andersgs', 'FriederikeHanssen', 'tamuanand', 'sguizard', 'ljmesi', 'ramprasadn', 'pditommaso', 'mjakobs', 'lskatz', 'louperelo', 'lassefolkersen', 'rpetit3', 'jfnavarro', 'Danilo2771', 'Emiller88', 'heuermh', 'yocra3', 'avantonder', 'grst', 'stevekm', 'njspix', 'suzannejin', 'maxibor', 'Erkison', 'Jeremy1805', 'candiceh08', 'mjcipriano', 'jinmingda', 'muffato', 'MGordon09', 'duanjunhyq', 'jfy133', 'sateeshperi', 'mashehu', 'sima-r', 'ajodeh-juma', 'oschwengers', 'Mark-S-Hill', 'subwaystation', 'AntoniaSchuster', 'kojix2', 'hseabolt', 'pericsson', 'ewels', 'kevbrick', 'MillironX', 'fullama', 'phue', 'santiagorevale', 'praveenraj2018', 'sruthipsuresh', 'lescai', 'BatoolMM', 'tamara-hodgetts', 'riederd', 'bunop', 'KevinMenden', 'yuukiiwa', 'chris-cheshire', 'spficklin', 'charles-plessy', 'Gwennid', 'RHReynolds', 'maxulysse', 'emnilsson', 'drpatelh', 'thanhleviet', 'apeltzer', 'abhi18av', 'mahesh-panchal', 'i-pletenev', 'fmalmeida', 'ntoda03', 'SPPearce', 'FelixKrueger', 'aleksandrabliznina', 'SusiJo', 'jianhong', 'sysbiocoder', 'anwarMZ', 'klkeys', 'ggabernet', 'c-mertes', 'priyanka-surana', 'GCJMackenzie', 'jemten', 'FloWuenne', 'projectoriented', 'kaurravneet4123', 'bjohnnyd', 'fbdtemme', 'piotr-faba-ardigen', 'sidorov-si'}","{'cidgoh', 'nf-core', 'sanger-tol'}","{'modules', 'cidgoh_qc', 'readmapping'}",108.0,3.0,3.0,3.0,"['SAMtools', 'FastQC']"
3,"{'erikrikarddaniel', 'alexandregilardet', 'arontommi', 'annacprice', 'antunderwood', 'JoseEspinosa', 'kmurat1', 'Darcy220606', 'Midnighter', 'nebfield', 'Mxrcon', 'sofstam', 'd4straub', 'nf-core-bot', 'rannick', 'nickhsmith', 'andersgs', 'FriederikeHanssen', 'tamuanand', 'sguizard', 'ljmesi', 'ramprasadn', 'pditommaso', 'mjakobs', 'lskatz', 'louperelo', 'lassefolkersen', 'rpetit3', 'jfnavarro', 'Danilo2771', 'Emiller88', 'yuxuth', 'heuermh', 'yocra3', 'avantonder', 'grst', 'stevekm', 'njspix', 'suzannejin', 'maxibor', 'Erkison', 'Jeremy1805', 'candiceh08', 'mjcipriano', 'jinmingda', 'muffato', 'MGordon09', 'jfy133', 'sateeshperi', 'mashehu', 'sima-r', 'ajodeh-juma', 'oschwengers', 'Mark-S-Hill', 'subwaystation', 'AntoniaSchuster', 'kojix2', 'hseabolt', 'pericsson', 'ewels', 'kevbrick', 'MillironX', 'fullama', 'phue', 'santiagorevale', 'praveenraj2018', 'sruthipsuresh', 'lescai', 'BatoolMM', 'tamara-hodgetts', 'riederd', 'bunop', 'KevinMenden', 'yuukiiwa', 'chris-cheshire', 'spficklin', 'charles-plessy', 'Gwennid', 'RHReynolds', 'maxulysse', 'emnilsson', 'drpatelh', 'thanhleviet', 'apeltzer', 'abhi18av', 'mahesh-panchal', 'i-pletenev', 'fmalmeida', 'ntoda03', 'SPPearce', 'FelixKrueger', 'aleksandrabliznina', 'SusiJo', 'jianhong', 'sysbiocoder', 'klkeys', 'ggabernet', 'c-mertes', 'GCJMackenzie', 'jemten', 'FloWuenne', 'projectoriented', 'kaurravneet4123', 'bjohnnyd', 'fbdtemme', 'piotr-faba-ardigen', 'sidorov-si'}","{'nf-core', 'jianhong'}","{'nf-core-hicar', 'modules'}",107.0,2.0,2.0,2.0,['GenMAPP']
4,"{'andreas-wilm', 'azure-pipelines[bot]', 'brucemoran', 'veeravalli', 'pditommaso'}","{'cgpu', 'gis-rpd', 'brucemoran'}","{'somatic_n-of-1', 'somatic_exome_n-of-1', 'rpd-sg10k-grch38-gatk4-gvcf-freebayes-vcf', 'batch_somatic', 'tumour_only'}",5.0,3.0,5.0,5.0,"['Picard', 'MarkDuplicates (IP)', 'SAMtools', 'SAMtools']"
5,{'rwtaylor'},{'rwtaylor'},"{'mpcr-analyses-pipelines', 'nextflow-pipelines'}",1.0,1.0,4.0,2.0,"['BEDTools', 'BamTools']"
6,"{'QuentinLetourneur', 'aghozlane'}",{'QuentinLetourneur'},{'Let-it-bin'},2.0,1.0,1.0,1.0,"['clc_assembler', 'GATB', 'MEGAHIT']"
7,"{'phelelani', 'lucacozzuto', 'melferink', 'alexthiery', 'charlotte-west', 'ellendejong', 'marc-jones', 'ffmmulder', 'rernst', 'thibaultdestanque', 'MoritzBauer', 'CharlotteAnne', 'MattHuff', 'ywilke', 'doudoufeishangtian', 'sawibo', 'amchakra', 'noelnamai', 'cmatKhan', 'chris-cheshire'}","{'phelelani', 'noelnamai', 'luslab', 'cmatKhan', 'biocorecrg', 'thibaultdestanque', 'UMCUGenetics', 'MattHuff', 'doudoufeishangtian'}","{'allele_specific_RNAseq', 'nf-rnaSeqCount', 'NextflowModules', 'brentlab_rnaseq_nf', 'RNA_seq_Nextflow', 'differential-expression-analysis', 'nf-core-modules', 'Nextflow_Pipelines', 'smRNApipe-nf'}",20.0,9.0,9.0,9.0,['htseqcount']
8,{'darlenewagner'},{'darlenewagner'},{'nextflowViral'},1.0,1.0,1.0,1.0,['Smalt']
9,{'pblaney'},{'pblaney'},{'mgp1000'},1.0,1.0,4.0,1.0,['MSClust']
10,"{'davidealbanese', 'Lcornet'}","{'Lcornet', 'metashot'}","{'ORPER', 'prok-quality'}",2.0,2.0,2.0,2.0,['dRep']
11,"{'myoshimura080822', 'yuifu'}",{'rikenbit'},{'ramdaq'},2.0,1.0,1.0,1.0,"['HISAT2', 'SAMtools', 'SAMtools', 'SAMtools', 'SAMtools', 'BamTools']"
12,{'Puumanamana'},{'hawaiidatascience'},{'metaflowmics'},1.0,1.0,1.0,1.0,['AbDesign']
13,"{'phue', 'nschan'}","{'Gregor-Mendel-Institute', 'phue'}",{'aradeepopsis'},2.0,2.0,2.0,1.0,"['PredictPA', 'MultiDataSet']"
14,{'cdiener'},{'Gibbons-Lab'},{'pipelines'},1.0,1.0,1.0,1.0,"['Proteins API', '2DProts']"
15,"{'cgpu', 'sk-sahu'}",{'Shicheng-Guo'},{'gwasgsa'},2.0,1.0,4.0,1.0,['Magma']
16,"{'ggabernet', 'redst4r', 'sk-sahu', 'PeterBailey', 'maxulysse', 'lengfei5', 'apeltzer', 'olgabot', 'nf-core-bot'}","{'redst4r', 'nf-core', 'lengfei5'}","{'nf-10x-kallisto', 'scrnaseq', 'nf_visium_kallisto'}",9.0,3.0,6.0,3.0,"['BUStools', 'BUStools']"
17,"{'sven1103', 'kerimoff', 'marchoeppner', 'Galithil', 'ewels', 'senthil10', 'chuan-wang', 'Hammarn', 'na399', 'alneberg', 'colindaven', 'vezzi', 'rfenouil', 'jemten', 'rsuchecki', 'veeravalli', 'pditommaso', 'sofiahaglund', 'aanil', 'maxulysse', 'kauralasoo', 'jun-wan', 'apeltzer'}",{'eQTL-Catalogue'},{'rnaseq'},23.0,1.0,1.0,1.0,"['SAMtools', 'QTLtools']"
18,"{'ppoulin91', 'arnaudbore', 'agahkarakuzu', 'GuillaumeTh', 'jchoude', 'jcohenadad', 'frheault', 'mdesco', 'jhlegarreta', 'AlexVCaron', 'StongeEtienne'}","{'courtois-neuromod', 'scilus', 'AlexVCaron', 'agahkarakuzu'}","{'tractoflow-pve', 'anat-processing', 'mtsatflow', 'mrHARDIflow', 'tractoflow'}",11.0,4.0,9.0,5.0,['DBETH']
19,{'marcodelapierre'},{'marcodelapierre'},{'illumina-nf'},1.0,1.0,2.0,1.0,"['BCFtools', 'mpileup', 'Consensus']"
20,"{'ashleethomson', 'nathanhaigh', 'Hammarn', 'jimmybgammyknee', 'adigenova', 'matq007', 'maxulysse', 'higsch', 'chadisaad', 'ewels', 'szilvajuhos', 'a-lud'}","{'Monia234', 'nf-core', 'sagc-bioinformatics', 'IARCbioinfo'}","{'IARC-RNA-seq', 'modules', 'nf-gene-fusions', 'rnafusion'}",12.0,4.0,4.0,4.0,"['Arriba', 'STAR']"
21,"{'cgpu', 'perllb'}","{'cgpu', 'perllb'}","{'panelR', 'ctg-exome'}",2.0,2.0,2.0,2.0,['PanelApp']
22,{'esrice'},{'esrice'},{'workflows'},1.0,1.0,1.0,1.0,"['Pepper', 'Pepper']"
23,{'thomasyu888'},{'Sage-Bionetworks-Challenges'},{'nf-model2data'},1.0,1.0,2.0,1.0,['drtext']
24,"{'lucacozzuto', 'toniher', 'pditommaso'}",{'biocorecrg'},{'BioNextflow'},3.0,1.0,1.0,1.0,"['nanopolish', 'nanopolish']"
25,"{'jpfeuffer', 'daichengxin', 'ypriverol'}",{'bigbio'},{'proteomicstmt'},3.0,1.0,1.0,1.0,"['Percolator', 'MultiQC']"
26,"{'erikrikarddaniel', 'alexandregilardet', 'arontommi', 'annacprice', 'ktrns', 'Takadonet', 'antunderwood', 'JoseEspinosa', 'kmurat1', 'Darcy220606', 'Midnighter', 'nebfield', 'Mxrcon', 'sofstam', 'd4straub', 'sb43', 'nickhsmith', 'rannick', 'nf-core-bot', 'andersgs', 'FriederikeHanssen', 'tamuanand', 'sguizard', 'ljmesi', 'ramprasadn', 'pditommaso', 'mjakobs', 'MiguelJulia', 'kjsanger', 'lskatz', 'louperelo', 'ErikaKvalem', 'lassefolkersen', 'rpetit3', 'jfnavarro', 'Danilo2771', 'dkj', 'Emiller88', 'heuermh', 'jcurado-flomics', 'yocra3', 'avantonder', 'grst', 'stevekm', 'njspix', 'suzannejin', 'maxibor', 'Erkison', 'Jeremy1805', 'candiceh08', 'mjcipriano', 'jinmingda', 'muffato', 'MGordon09', 'stevin-wilson', 'dfornika', 'jfy133', 'sateeshperi', 'mashehu', 'mgcam', 'sima-r', 'ajodeh-juma', 'oschwengers', 'Mark-S-Hill', 'subwaystation', 'AntoniaSchuster', 'kojix2', 'hseabolt', 'pericsson', 'ewels', 'kevbrick', 'mikek498', 'MillironX', 'm-bull', 'fullama', 'phue', 'santiagorevale', 'praveenraj2018', 'sruthipsuresh', 'lescai', 'BatoolMM', 'tamara-hodgetts', 'FredDodd6', 'riederd', 'nodrogluap', 'bunop', 'KevinMenden', 'yuukiiwa', 'chris-cheshire', 'spficklin', 'charles-plessy', 'Gwennid', 'RHReynolds', 'maxulysse', 'emnilsson', 'drpatelh', 'thanhleviet', 'apeltzer', 'abhi18av', 'Clinical-Genomics-Linkoping', 'mahesh-panchal', 'i-pletenev', 'fmalmeida', 'ntoda03', 'SPPearce', 'FelixKrueger', 'aleksandrabliznina', 'svarona', 'SusiJo', 'saramonzon', 'jianhong', 'sysbiocoder', 'klkeys', 'DarianHole', 'ggabernet', 'c-mertes', 'ac55-sanger', 'GCJMackenzie', 'jemten', 'FloWuenne', 'embatty', 'projectoriented', 'kaurravneet4123', 'bjohnnyd', 'sb10', 'fbdtemme', 'piotr-faba-ardigen', 'sidorov-si'}","{'dfornika', 'nf-core', 'phac-nml', 'Clinical-Genomics-Linkoping', 'mahesh-panchal', 'mikek498', 'connor-lab'}","{'nextflow-artic-ncov2019', 'ncov2019-artic-nf', 'viralrecon', 'modules', 'ncov-dehoster', 'artic-gls', 'test_nfcore_workflow_chain', 'artic-pangolin-nf'}",128.0,7.0,17.0,8.0,['ARTIC']
27,{'hclimente'},{'hclimente'},{'gwas-tools'},1.0,1.0,1.0,1.0,"['Tab2MAGE', 'UniqueProt']"
28,{'Gustius'},{'Gustius'},{'MOFA'},1.0,1.0,1.0,1.0,"['MATSim', 'R2']"
29,"{'erikrikarddaniel', 'alexandregilardet', 'arontommi', 'annacprice', 'antunderwood', 'JoseEspinosa', 'kmurat1', 'Darcy220606', 'Midnighter', 'nebfield', 'leebrian', 'Mxrcon', 'sofstam', 'd4straub', 'nickhsmith', 'rannick', 'cjjossart', 'andersgs', 'FriederikeHanssen', 'tamuanand', 'sguizard', 'ljmesi', 'ramprasadn', 'pditommaso', 'mjakobs', 'lskatz', 'louperelo', 'lassefolkersen', 'rpetit3', 'jfnavarro', 'Danilo2771', 'Emiller88', 'heuermh', 'yocra3', 'avantonder', 'grst', 'stevekm', 'njspix', 'suzannejin', 'maxibor', 'Erkison', 'Jeremy1805', 'candiceh08', 'mjcipriano', 'jinmingda', 'muffato', 'MGordon09', 'jfy133', 'sateeshperi', 'mashehu', 'sima-r', 'mciprianoCDC', 'ajodeh-juma', 'happykhan', 'oschwengers', 'Mark-S-Hill', 'subwaystation', 'AntoniaSchuster', 'kojix2', 'hseabolt', 'pericsson', 'ewels', 'kevbrick', 'MillironX', 'fullama', 'phue', 'santiagorevale', 'praveenraj2018', 'sruthipsuresh', 'lescai', 'BatoolMM', 'tamara-hodgetts', 'riederd', 'bunop', 'KevinMenden', 'yuukiiwa', 'chris-cheshire', 'spficklin', 'charles-plessy', 'Gwennid', 'RHReynolds', 'maxulysse', 'emnilsson', 'drpatelh', 'thanhleviet', 'abhi18av', 'apeltzer', 'mahesh-panchal', 'i-pletenev', 'fmalmeida', 'ntoda03', 'SPPearce', 'FelixKrueger', 'aleksandrabliznina', 'SusiJo', 'jianhong', 'sysbiocoder', 'klkeys', 'ggabernet', 'c-mertes', 'GCJMackenzie', 'jemten', 'FloWuenne', 'projectoriented', 'kaurravneet4123', 'bjohnnyd', 'fbdtemme', 'piotr-faba-ardigen', 'sidorov-si'}","{'CDCgov', 'nf-core', 'happykhan'}","{'mycosnp-nf', 'modules', 'nf-scripts', 'bactmap'}",109.0,3.0,4.0,4.0,['RapidNJ']
30,{'Puumanamana'},{'hawaiidatascience'},{'metaflowmics'},1.0,1.0,1.0,1.0,"['noreturn', 'noreturn', 'nucloc', 'noreturn', 'TCGenerators', 'SUMSTAT', 'noreturn', 'noreturn', 'noreturn', 'Cgrid', 'DNABarcodes']"
31,{'Puumanamana'},{'hawaiidatascience'},{'metaflowmics'},1.0,1.0,1.0,1.0,"['RANKS', 'sabund']"
32,"{'ErikDanielsson', 'aduvermy', 'sdjebali', 'pericsson', 'ewels', 'kevbrick', 'nservant', 'chuan-wang', 'c-guzman', 'Hammarn', 'maxibor', 'lcabus-flomics', 'Landris18', 'nf-core-bot', 'sirselim', 'mjsteinbaugh', 'benpastore', 'lpantano', 'jemten', 'kstawiski', 'jfy133', 'doudoufeishangtian', 'KevinMenden', 'pditommaso', 'maxulysse', 'drpatelh', 'shashidhar22', 'apeltzer'}","{'heinzlab', 'benpastore', 'WarrenLabFH', 'aduvermy', 'maxibor', 'bioinfo-pf-curie', 'nf-core', 'kevbrick', 'doudoufeishangtian'}","{'nf-smrna-seq', 'pipeIt', 'viral_genomics', 'nf-VIF', 'coproID', 'smrnaseq', 'quantitative_nucleosome_analysis', 'smrna-seq-pipeline', 'smRNApipe-nf'}",28.0,9.0,11.0,9.0,"['Bowtie', 'SAMtools', 'SAMtools', 'SAMtools', 'SAMtools']"
33,"{'Emilyaoc', 'mahesh-panchal', 'abumadsen'}",{'Emilyaoc'},{'Nextflow-selection-workflow'},3.0,1.0,1.0,1.0,['HyPhy']
34,"{'jpfeuffer', 'daichengxin', 'ypriverol', 'nf-core-bot'}",{'bigbio'},{'quantms'},4.0,1.0,1.0,1.0,['PklFileMerger']
35,"{'myoshimura080822', 'yuifu'}",{'rikenbit'},{'ramdaq'},2.0,1.0,1.0,1.0,"['FastQC', 'HISAT2', 'SAMtools', 'BamTools', 'FeatureCounts', 'MultiQC']"
36,"{'HadrienG', 'sghurst', 'fmalmeida'}","{'HadrienG', 'fmalmeida'}","{'bacannot', 'arbetsprov'}",3.0,2.0,2.0,2.0,['Platon']
