,list_contrib,list_own,list_wf,nb_contrib,nb_own,nb_reuse,nb_wf,tools
0,set(),{'mscharmann'},"{'mscharmann/sexdelim/2', 'mscharmann/sexdelim/1'}",0.0,1.0,2.0,2.0,"['BWA', 'SAMtools', 'SAMtools', 'SAMtools', 'seqtk', 'BEDTools', 'BEDTools']"
1,"{'DarioS', 'xiaoyan-xu', 'wdeleeuw', 'kernco', 'kittyl', 'zhuchcn', 'heylf', 'fcarelli', 'penglbio', 'Exenter', 'Redmar-van-den-Berg', 'XianXin0418', '0mician', 'bow', 'mistyskye'}","{'davidlevybooth', 'xiaoyan-xu', 'kernco', 'LoGT-KULeuven', 'LUMC', 'zhuchcn', 'fcarelli', 'penglbio', 'lfdelzam', 'Exenter', 'SydneyBioX', 'XianXin0418', 'UvA-MAD', 'BackofenLab', 'Miachol', 'bioxfu'}","{'penglbio/RNA_Seq/1', 'kernco/deg_pipeline/1', 'xiaoyan-xu/snakemakefile/1', 'BackofenLab/SalamiSnake/4', 'UvA-MAD/NGS-pipelines/2', 'bioxfu/RNA-Seq/2', 'davidlevybooth/Rhodococcus_Transcriptomics/1', 'LoGT-KULeuven/y2h_Bam35-Bt_analysis/1', 'zhuchcn/exceRNApipeline/1', 'fcarelli/glre/33', 'Miachol/hamlet/3', 'bioxfu/RNA-Seq/1', 'Exenter/Comparing-two-RNAseq-analysis-tools-STAR-vs-Kallisto/1', 'bioxfu/RNA-Seq/3', 'LoGT-KULeuven/y2h_Bam35-Bt_analysis/2', 'penglbio/RNA_Seq/3', 'penglbio/RNA_Seq/2', 'UvA-MAD/NGS-pipelines/4', 'XianXin0418/SWORD-pipeline/3', 'BackofenLab/SalamiSnake/3', 'lfdelzam/Automatic_transcriptome_analysis/1', 'SydneyBioX/RNASeq/1', 'LUMC/HAMLET/2'}",15.0,16.0,26.0,23.0,['htseqcount']
2,"{'fburic', 'franciscozorrilla', 'sevance', 'elimoss', 'jribado', 'mberacochea', 'skinmicrobiome', 'cosnicolaou', 'navajain', 'bsiranosian', 'bfremin', 'tamburinif', 'sskashaf'}","{'franciscozorrilla', 'Finn-Lab', 'skinmicrobiome', 'liluacrobat', 'bhattlab'}","{'franciscozorrilla/metaGEM/2', 'skinmicrobiome/skin_MAGs/1', 'Finn-Lab/skin_microbiome/1', 'Finn-Lab/MAG_Snakemake_wf/6', 'bhattlab/bhattlab_workflows/16', 'liluacrobat/Shotgun_inStrain/16', 'Finn-Lab/skin_microbiome/6', 'skinmicrobiome/skin_MAGs/6'}",13.0,5.0,12.0,8.0,['dRep']
3,{'arvestad'},{'arvestad'},"{'arvestad/accuracy_in_prime/3', 'arvestad/accuracy_in_prime/2'}",1.0,1.0,2.0,2.0,['CS-PSeq-Gen']
4,"{'vodkatad', 'samleenz'}","{'vodkatad', 'samleenz'}","{'vodkatad/snakegatk/14', 'samleenz/variant-calling/1'}",2.0,2.0,2.0,2.0,['Platypus']
5,{'burtonjz'},{'UMich-Mind-Lab'},{'UMich-Mind-Lab/pipeline-task-standard/1'},1.0,1.0,1.0,1.0,['DBETH']
6,"{'johnne', 'andnischneider'}",{'andnischneider'},{'andnischneider/its_workflow/2'},2.0,1.0,1.0,1.0,['UNITE rDNA']
7,{'pmenzel'},{'pmenzel'},{'pmenzel/ont-assembly-snake/1'},1.0,1.0,1.0,1.0,"['TRAP', 'Minimap2', 'Racon']"
8,{'sfrenk'},{'sfrenk'},{'sfrenk/variant_calling_pipeline/1'},1.0,1.0,2.0,1.0,"['GATK', 'mQC', 'QUALITY', 'mdp']"
9,"{'miramastoras', 'awreynolds'}","{'hennlab', 'hardingnj'}","{'hardingnj/snakeit/1', 'hennlab/snake-IBDne/2', 'hennlab/snake-IBDne/1', 'hennlab/AS-IBDNe/1'}",2.0,2.0,4.0,4.0,['SHAPEIT']
10,{'jmonlong'},{'jmonlong'},{'jmonlong/pangenome-evaluation/2'},1.0,1.0,1.0,1.0,['GraphAligner']
11,"{'joyeuxnoel8', 'mchaisso'}",{'ChaissonLab'},{'ChaissonLab/danbing-tk/1'},2.0,1.0,1.0,1.0,"['ALRA', 'SAMtools', 'SAMtools', 'Minimap2']"
12,{'c-mertes'},{'gagneurlab'},"{'gagneurlab/FRASER-analysis/1', 'gagneurlab/OUTRIDER-analysis/1'}",1.0,1.0,2.0,2.0,['PGS']
13,"{'jbloom', 'danielzmbp', 'jiyideanjiao', 'fieldima'}","{'danielzmbp', 'jiyideanjiao', 'fieldima', 'jbloomlab'}","{'jbloomlab/CoV_229E_antigenic_drift/1', 'jiyideanjiao/Alkaline_Adaptation/3', 'fieldima/biof501-pipeline/1', 'jiyideanjiao/Alkaline_Adaptation/1', 'danielzmbp/wsgups/1'}",4.0,4.0,8.0,5.0,['HyPhy']
14,{'heragaji'},{'heragaji'},"{'heragaji/make_rep_database/2', 'heragaji/make_rep_database/1'}",1.0,1.0,2.0,2.0,"['SAMtools', 'SAMtools', 'HOGENOM']"
15,{'ninsch3000'},{'zavolanlab'},{'zavolanlab/polyAsite_workflow/1'},1.0,1.0,1.0,1.0,['cshl_fastx_renamer']
