,nb_reuse,nb_proc,prop_proc,nb_own,prop_own,nb_wf,prop_wf
0,1.0,1852.0,69.93957703927492,1965.0,74.20694864048339,1872.0,70.69486404833837
1,2.0,307.0,11.593655589123868,306.0,11.555891238670695,347.0,13.104229607250756
2,3.0,145.0,5.47583081570997,121.0,4.569486404833837,125.0,4.720543806646526
3,4.0,87.0,3.2854984894259815,86.0,3.2477341389728096,82.0,3.096676737160121
4,5.0,51.0,1.9259818731117824,43.0,1.6238670694864048,49.0,1.8504531722054378
5,6.0,42.0,1.5861027190332326,28.0,1.0574018126888218,46.0,1.7371601208459215
6,7.0,32.0,1.2084592145015105,15.0,0.5664652567975831,22.0,0.8308157099697886
7,8.0,14.0,0.5287009063444109,13.0,0.49093655589123864,13.0,0.49093655589123864
8,9.0,15.0,0.5664652567975831,6.0,0.22658610271903326,9.0,0.33987915407854985
9,10.0,9.0,0.33987915407854985,9.0,0.33987915407854985,8.0,0.3021148036253776
10,11.0,5.0,0.18882175226586104,9.0,0.33987915407854985,6.0,0.22658610271903326
11,12.0,9.0,0.33987915407854985,8.0,0.3021148036253776,5.0,0.18882175226586104
12,13.0,5.0,0.18882175226586104,7.0,0.26435045317220546,8.0,0.3021148036253776
13,14.0,7.0,0.26435045317220546,6.0,0.22658610271903326,8.0,0.3021148036253776
14,15.0,3.0,0.11329305135951663,7.0,0.26435045317220546,4.0,0.1510574018126888
15,16.0,6.0,0.22658610271903326,7.0,0.26435045317220546,11.0,0.4154078549848943
16,17.0,4.0,0.1510574018126888,2.0,0.0755287009063444,5.0,0.18882175226586104
17,18.0,9.0,0.33987915407854985,2.0,0.0755287009063444,8.0,0.3021148036253776
18,19.0,7.0,0.26435045317220546,0.0,0.0,4.0,0.1510574018126888
19,20.0,5.0,0.18882175226586104,3.0,0.11329305135951663,0.0,0.0
20,21.0,3.0,0.11329305135951663,0.0,0.0,3.0,0.11329305135951663
21,22.0,4.0,0.1510574018126888,1.0,0.0377643504531722,4.0,0.1510574018126888
22,23.0,3.0,0.11329305135951663,2.0,0.0755287009063444,2.0,0.0755287009063444
23,24.0,3.0,0.11329305135951663,0.0,0.0,2.0,0.0755287009063444
24,25.0,4.0,0.1510574018126888,1.0,0.0377643504531722,1.0,0.0377643504531722
25,26.0,4.0,0.1510574018126888,1.0,0.0377643504531722,1.0,0.0377643504531722
26,27.0,1.0,0.0377643504531722,0.0,0.0,3.0,0.11329305135951663
27,28.0,4.0,0.1510574018126888,0.0,0.0,0.0,0.0
28,29.0,1.0,0.0377643504531722,0.0,0.0,0.0,0.0
29,30.0,4.0,0.1510574018126888,0.0,0.0,0.0,0.0
30,32.0,1.0,0.0377643504531722,0.0,0.0,0.0,0.0
31,34.0,1.0,0.0377643504531722,0.0,0.0,0.0,0.0
32,38.0,1.0,0.0377643504531722,0.0,0.0,0.0,0.0
