,nb_reuse,nb_proc,prop_proc,nb_own,prop_own,nb_wf,prop_wf
0,0.0,211.0,42.62626262626263,0.0,0.0,211.0,42.62626262626263
1,1.0,65.0,13.131313131313133,202.0,40.80808080808081,67.0,13.535353535353536
2,2.0,35.0,7.07070707070707,70.0,14.14141414141414,36.0,7.2727272727272725
3,3.0,33.0,6.666666666666667,37.0,7.474747474747474,36.0,7.2727272727272725
4,4.0,40.0,8.080808080808081,47.0,9.494949494949495,39.0,7.878787878787878
5,5.0,22.0,4.444444444444445,30.0,6.0606060606060606,21.0,4.242424242424243
6,6.0,10.0,2.0202020202020203,25.0,5.05050505050505,15.0,3.0303030303030303
7,7.0,5.0,1.0101010101010102,12.0,2.4242424242424243,4.0,0.8080808080808081
8,8.0,6.0,1.2121212121212122,9.0,1.8181818181818181,6.0,1.2121212121212122
9,9.0,8.0,1.6161616161616161,3.0,0.6060606060606061,9.0,1.8181818181818181
10,10.0,5.0,1.0101010101010102,7.0,1.4141414141414141,13.0,2.6262626262626263
11,11.0,6.0,1.2121212121212122,9.0,1.8181818181818181,7.0,1.4141414141414141
12,12.0,10.0,2.0202020202020203,8.0,1.6161616161616161,7.0,1.4141414141414141
13,13.0,8.0,1.6161616161616161,7.0,1.4141414141414141,6.0,1.2121212121212122
14,14.0,5.0,1.0101010101010102,6.0,1.2121212121212122,2.0,0.40404040404040403
15,15.0,3.0,0.6060606060606061,6.0,1.2121212121212122,4.0,0.8080808080808081
16,16.0,1.0,0.20202020202020202,6.0,1.2121212121212122,2.0,0.40404040404040403
17,17.0,4.0,0.8080808080808081,1.0,0.20202020202020202,2.0,0.40404040404040403
18,18.0,1.0,0.20202020202020202,2.0,0.40404040404040403,1.0,0.20202020202020202
19,19.0,4.0,0.8080808080808081,0.0,0.0,1.0,0.20202020202020202
20,20.0,1.0,0.20202020202020202,3.0,0.6060606060606061,1.0,0.20202020202020202
21,21.0,3.0,0.6060606060606061,0.0,0.0,1.0,0.20202020202020202
22,22.0,1.0,0.20202020202020202,1.0,0.20202020202020202,1.0,0.20202020202020202
23,23.0,2.0,0.40404040404040403,2.0,0.40404040404040403,1.0,0.20202020202020202
24,24.0,1.0,0.20202020202020202,0.0,0.0,1.0,0.20202020202020202
25,25.0,2.0,0.40404040404040403,1.0,0.20202020202020202,1.0,0.20202020202020202
26,26.0,2.0,0.40404040404040403,1.0,0.20202020202020202,0.0,0.0
27,28.0,1.0,0.20202020202020202,0.0,0.0,0.0,0.0
