,nb_proc,prop_proc,nb_wf
25,1.0,0.20202020202020202,25.0
24,1.0,0.20202020202020202,24.0
23,1.0,0.20202020202020202,23.0
22,1.0,0.20202020202020202,22.0
21,1.0,0.20202020202020202,21.0
20,1.0,0.20202020202020202,20.0
19,1.0,0.20202020202020202,19.0
18,1.0,0.20202020202020202,18.0
17,2.0,0.40404040404040403,17.0
16,2.0,0.40404040404040403,16.0
15,4.0,0.8080808080808081,15.0
14,2.0,0.40404040404040403,14.0
13,6.0,1.2121212121212122,13.0
12,7.0,1.4141414141414141,12.0
11,7.0,1.4141414141414141,11.0
10,13.0,2.6262626262626263,10.0
9,9.0,1.8181818181818181,9.0
8,6.0,1.2121212121212122,8.0
7,4.0,0.8080808080808081,7.0
6,15.0,3.0303030303030303,6.0
5,21.0,4.242424242424243,5.0
4,39.0,7.878787878787878,4.0
3,36.0,7.2727272727272725,3.0
2,36.0,7.2727272727272725,2.0
1,67.0,13.535353535353536,1.0
0,211.0,42.62626262626263,0.0
