,nb_proc,prop_proc,nb_wf
25,3.0,0.11329305135951663,27.0
24,1.0,0.0377643504531722,26.0
23,1.0,0.0377643504531722,25.0
22,2.0,0.0755287009063444,24.0
21,2.0,0.0755287009063444,23.0
20,4.0,0.1510574018126888,22.0
19,3.0,0.11329305135951663,21.0
18,4.0,0.1510574018126888,19.0
17,8.0,0.3021148036253776,18.0
16,5.0,0.18882175226586104,17.0
15,11.0,0.4154078549848943,16.0
14,4.0,0.1510574018126888,15.0
13,8.0,0.3021148036253776,14.0
12,8.0,0.3021148036253776,13.0
11,5.0,0.18882175226586104,12.0
10,6.0,0.22658610271903326,11.0
9,8.0,0.3021148036253776,10.0
8,9.0,0.33987915407854985,9.0
7,13.0,0.49093655589123864,8.0
6,22.0,0.8308157099697886,7.0
5,46.0,1.7371601208459215,6.0
4,49.0,1.8504531722054378,5.0
3,82.0,3.096676737160121,4.0
2,125.0,4.720543806646526,3.0
1,347.0,13.104229607250756,2.0
0,1872.0,70.69486404833837,1.0
