,nb_reuse,nb_proc,prop_proc,nb_own,prop_own,nb_wf,prop_wf
0,1.0,4029.0,73.72369624885636,4176.0,76.4135407136322,4060.0,74.29094236047575
1,2.0,675.0,12.351326623970722,714.0,13.064958828911251,719.0,13.156450137236963
2,3.0,203.0,3.714547118023788,139.0,2.543458371454712,177.0,3.2387923147301003
3,4.0,102.0,1.8664226898444647,77.0,1.4089661482159195,76.0,1.3906678865507778
4,5.0,60.0,1.0978956999085088,44.0,0.8051235132662397,57.0,1.0430009149130832
5,6.0,57.0,1.0430009149130832,45.0,0.8234217749313815,59.0,1.079597438243367
6,7.0,52.0,0.9515096065873742,39.0,0.7136322049405307,52.0,0.9515096065873742
7,8.0,42.0,0.768526989935956,41.0,0.7502287282708142,39.0,0.7136322049405307
8,9.0,21.0,0.384263494967978,23.0,0.4208600182982617,22.0,0.4025617566331198
9,10.0,21.0,0.384263494967978,22.0,0.4025617566331198,15.0,0.2744739249771272
10,11.0,10.0,0.18298261665141813,8.0,0.1463860933211345,16.0,0.292772186642269
11,12.0,13.0,0.23787740164684354,7.0,0.1280878316559927,8.0,0.1463860933211345
12,13.0,10.0,0.18298261665141813,6.0,0.10978956999085088,7.0,0.1280878316559927
13,14.0,10.0,0.18298261665141813,9.0,0.1646843549862763,14.0,0.2561756633119854
14,15.0,10.0,0.18298261665141813,5.0,0.09149130832570906,10.0,0.18298261665141813
15,16.0,7.0,0.1280878316559927,7.0,0.1280878316559927,10.0,0.18298261665141813
16,17.0,6.0,0.10978956999085088,5.0,0.09149130832570906,7.0,0.1280878316559927
17,18.0,8.0,0.1463860933211345,5.0,0.09149130832570906,5.0,0.09149130832570906
18,19.0,2.0,0.036596523330283626,7.0,0.1280878316559927,4.0,0.07319304666056725
19,20.0,8.0,0.1463860933211345,3.0,0.05489478499542544,4.0,0.07319304666056725
20,21.0,5.0,0.09149130832570906,2.0,0.036596523330283626,6.0,0.10978956999085088
21,22.0,5.0,0.09149130832570906,8.0,0.1463860933211345,4.0,0.07319304666056725
22,23.0,3.0,0.05489478499542544,2.0,0.036596523330283626,8.0,0.1463860933211345
23,24.0,5.0,0.09149130832570906,8.0,0.1463860933211345,4.0,0.07319304666056725
24,25.0,5.0,0.09149130832570906,3.0,0.05489478499542544,1.0,0.018298261665141813
25,26.0,7.0,0.1280878316559927,7.0,0.1280878316559927,4.0,0.07319304666056725
26,27.0,3.0,0.05489478499542544,7.0,0.1280878316559927,8.0,0.1463860933211345
27,28.0,6.0,0.10978956999085088,5.0,0.09149130832570906,7.0,0.1280878316559927
28,29.0,5.0,0.09149130832570906,4.0,0.07319304666056725,1.0,0.018298261665141813
29,30.0,5.0,0.09149130832570906,5.0,0.09149130832570906,7.0,0.1280878316559927
30,31.0,6.0,0.10978956999085088,3.0,0.05489478499542544,6.0,0.10978956999085088
31,32.0,7.0,0.1280878316559927,1.0,0.018298261665141813,6.0,0.10978956999085088
32,33.0,5.0,0.09149130832570906,7.0,0.1280878316559927,4.0,0.07319304666056725
33,34.0,4.0,0.07319304666056725,2.0,0.036596523330283626,5.0,0.09149130832570906
34,35.0,5.0,0.09149130832570906,1.0,0.018298261665141813,4.0,0.07319304666056725
35,36.0,5.0,0.09149130832570906,3.0,0.05489478499542544,2.0,0.036596523330283626
36,37.0,5.0,0.09149130832570906,2.0,0.036596523330283626,1.0,0.018298261665141813
37,38.0,4.0,0.07319304666056725,0.0,0.0,3.0,0.05489478499542544
38,39.0,2.0,0.036596523330283626,1.0,0.018298261665141813,2.0,0.036596523330283626
39,40.0,1.0,0.018298261665141813,3.0,0.05489478499542544,1.0,0.018298261665141813
40,41.0,0.0,0.0,1.0,0.018298261665141813,0.0,0.0
41,42.0,3.0,0.05489478499542544,1.0,0.018298261665141813,2.0,0.036596523330283626
42,43.0,3.0,0.05489478499542544,0.0,0.0,2.0,0.036596523330283626
43,44.0,1.0,0.018298261665141813,0.0,0.0,2.0,0.036596523330283626
44,45.0,1.0,0.018298261665141813,0.0,0.0,0.0,0.0
45,46.0,1.0,0.018298261665141813,1.0,0.018298261665141813,2.0,0.036596523330283626
46,47.0,1.0,0.018298261665141813,0.0,0.0,1.0,0.018298261665141813
47,48.0,0.0,0.0,0.0,0.0,1.0,0.018298261665141813
48,49.0,1.0,0.018298261665141813,0.0,0.0,2.0,0.036596523330283626
49,50.0,2.0,0.036596523330283626,1.0,0.018298261665141813,0.0,0.0
50,51.0,2.0,0.036596523330283626,1.0,0.018298261665141813,1.0,0.018298261665141813
51,52.0,1.0,0.018298261665141813,1.0,0.018298261665141813,1.0,0.018298261665141813
52,53.0,2.0,0.036596523330283626,0.0,0.0,0.0,0.0
53,55.0,1.0,0.018298261665141813,0.0,0.0,1.0,0.018298261665141813
54,56.0,1.0,0.018298261665141813,3.0,0.05489478499542544,0.0,0.0
55,57.0,0.0,0.0,0.0,0.0,1.0,0.018298261665141813
56,58.0,0.0,0.0,0.0,0.0,1.0,0.018298261665141813
57,59.0,0.0,0.0,0.0,0.0,1.0,0.018298261665141813
58,60.0,1.0,0.018298261665141813,0.0,0.0,0.0,0.0
59,61.0,1.0,0.018298261665141813,0.0,0.0,0.0,0.0
60,62.0,0.0,0.0,0.0,0.0,1.0,0.018298261665141813
61,63.0,1.0,0.018298261665141813,0.0,0.0,1.0,0.018298261665141813
62,65.0,2.0,0.036596523330283626,0.0,0.0,0.0,0.0
63,66.0,1.0,0.018298261665141813,0.0,0.0,0.0,0.0
