,nb_proc,prop_proc,nb_wf
53,1.0,0.145985401459854,63.0
52,1.0,0.145985401459854,62.0
51,1.0,0.145985401459854,59.0
50,1.0,0.145985401459854,58.0
49,1.0,0.145985401459854,57.0
48,1.0,0.145985401459854,55.0
47,1.0,0.145985401459854,52.0
46,1.0,0.145985401459854,51.0
45,2.0,0.291970802919708,49.0
44,1.0,0.145985401459854,48.0
43,1.0,0.145985401459854,47.0
42,2.0,0.291970802919708,46.0
41,2.0,0.291970802919708,44.0
40,2.0,0.291970802919708,43.0
39,2.0,0.291970802919708,42.0
38,1.0,0.145985401459854,40.0
37,2.0,0.291970802919708,39.0
36,3.0,0.43795620437956206,38.0
35,1.0,0.145985401459854,37.0
34,2.0,0.291970802919708,36.0
33,4.0,0.583941605839416,35.0
32,5.0,0.7299270072992701,34.0
31,4.0,0.583941605839416,33.0
30,6.0,0.8759124087591241,32.0
29,6.0,0.8759124087591241,31.0
28,5.0,0.7299270072992701,30.0
27,4.0,0.583941605839416,28.0
26,8.0,1.167883211678832,27.0
25,3.0,0.43795620437956206,26.0
24,1.0,0.145985401459854,25.0
23,3.0,0.43795620437956206,24.0
22,5.0,0.7299270072992701,23.0
21,4.0,0.583941605839416,22.0
20,4.0,0.583941605839416,21.0
19,2.0,0.291970802919708,20.0
18,4.0,0.583941605839416,19.0
17,5.0,0.7299270072992701,18.0
16,4.0,0.583941605839416,17.0
15,9.0,1.313868613138686,16.0
14,9.0,1.313868613138686,15.0
13,12.0,1.7518248175182483,14.0
12,6.0,0.8759124087591241,13.0
11,7.0,1.0218978102189782,12.0
10,13.0,1.897810218978102,11.0
9,14.0,2.0437956204379564,10.0
8,13.0,1.897810218978102,9.0
7,33.0,4.817518248175182,8.0
6,37.0,5.401459854014599,7.0
5,42.0,6.131386861313868,6.0
4,34.0,4.963503649635037,5.0
3,34.0,4.963503649635037,4.0
2,64.0,9.343065693430656,3.0
1,100.0,14.5985401459854,2.0
0,152.0,22.18978102189781,1.0
