,nb_reuse,nb_proc,prop_proc,nb_own,prop_own,nb_wf,prop_wf
0,1.0,3884.0,81.25523012552301,3993.0,83.5355648535565,3908.0,81.75732217573221
1,2.0,576.0,12.05020920502092,607.0,12.698744769874477,619.0,12.94979079497908
2,3.0,146.0,3.0543933054393304,90.0,1.882845188284519,113.0,2.3640167364016738
3,4.0,65.0,1.3598326359832638,31.0,0.6485355648535565,42.0,0.8786610878661089
4,5.0,25.0,0.5230125523012552,11.0,0.23012552301255232,23.0,0.4811715481171548
5,6.0,20.0,0.41841004184100417,4.0,0.08368200836820083,17.0,0.35564853556485354
6,7.0,15.0,0.3138075313807531,6.0,0.12552301255230125,15.0,0.3138075313807531
7,8.0,8.0,0.16736401673640167,5.0,0.10460251046025104,6.0,0.12552301255230125
8,9.0,8.0,0.16736401673640167,6.0,0.12552301255230125,9.0,0.18828451882845187
9,10.0,2.0,0.04184100418410042,3.0,0.06276150627615062,1.0,0.02092050209205021
10,11.0,3.0,0.06276150627615062,2.0,0.04184100418410042,3.0,0.06276150627615062
11,12.0,4.0,0.08368200836820083,1.0,0.02092050209205021,1.0,0.02092050209205021
12,13.0,2.0,0.04184100418410042,2.0,0.04184100418410042,1.0,0.02092050209205021
13,14.0,1.0,0.02092050209205021,1.0,0.02092050209205021,2.0,0.04184100418410042
14,15.0,1.0,0.02092050209205021,1.0,0.02092050209205021,1.0,0.02092050209205021
15,16.0,0.0,0.0,2.0,0.04184100418410042,1.0,0.02092050209205021
16,17.0,3.0,0.06276150627615062,0.0,0.0,3.0,0.06276150627615062
17,18.0,2.0,0.04184100418410042,0.0,0.0,0.0,0.0
18,19.0,0.0,0.0,3.0,0.06276150627615062,0.0,0.0
19,20.0,0.0,0.0,1.0,0.02092050209205021,2.0,0.04184100418410042
20,21.0,3.0,0.06276150627615062,0.0,0.0,2.0,0.04184100418410042
21,22.0,1.0,0.02092050209205021,3.0,0.06276150627615062,0.0,0.0
22,23.0,1.0,0.02092050209205021,2.0,0.04184100418410042,3.0,0.06276150627615062
23,24.0,2.0,0.04184100418410042,3.0,0.06276150627615062,1.0,0.02092050209205021
24,25.0,0.0,0.0,1.0,0.02092050209205021,0.0,0.0
25,26.0,0.0,0.0,1.0,0.02092050209205021,1.0,0.02092050209205021
26,27.0,2.0,0.04184100418410042,1.0,0.02092050209205021,0.0,0.0
27,28.0,1.0,0.02092050209205021,0.0,0.0,3.0,0.06276150627615062
28,29.0,1.0,0.02092050209205021,0.0,0.0,1.0,0.02092050209205021
29,30.0,1.0,0.02092050209205021,0.0,0.0,2.0,0.04184100418410042
30,31.0,1.0,0.02092050209205021,0.0,0.0,0.0,0.0
31,32.0,1.0,0.02092050209205021,0.0,0.0,0.0,0.0
32,33.0,1.0,0.02092050209205021,0.0,0.0,0.0,0.0
