,nb_proc,prop_proc,nb_wf
24,2.0,0.04184100418410042,30.0
23,1.0,0.02092050209205021,29.0
22,3.0,0.06276150627615062,28.0
21,1.0,0.02092050209205021,26.0
20,1.0,0.02092050209205021,24.0
19,3.0,0.06276150627615062,23.0
18,2.0,0.04184100418410042,21.0
17,2.0,0.04184100418410042,20.0
16,3.0,0.06276150627615062,17.0
15,1.0,0.02092050209205021,16.0
14,1.0,0.02092050209205021,15.0
13,2.0,0.04184100418410042,14.0
12,1.0,0.02092050209205021,13.0
11,1.0,0.02092050209205021,12.0
10,3.0,0.06276150627615062,11.0
9,1.0,0.02092050209205021,10.0
8,9.0,0.18828451882845187,9.0
7,6.0,0.12552301255230125,8.0
6,15.0,0.3138075313807531,7.0
5,17.0,0.35564853556485354,6.0
4,23.0,0.4811715481171548,5.0
3,42.0,0.8786610878661089,4.0
2,113.0,2.3640167364016738,3.0
1,619.0,12.94979079497908,2.0
0,3908.0,81.75732217573221,1.0
