,nb_proc,prop_proc,nb_wf
54,1.0,0.018298261665141813,63.0
53,1.0,0.018298261665141813,62.0
52,1.0,0.018298261665141813,59.0
51,1.0,0.018298261665141813,58.0
50,1.0,0.018298261665141813,57.0
49,1.0,0.018298261665141813,55.0
48,1.0,0.018298261665141813,52.0
47,1.0,0.018298261665141813,51.0
46,2.0,0.036596523330283626,49.0
45,1.0,0.018298261665141813,48.0
44,1.0,0.018298261665141813,47.0
43,2.0,0.036596523330283626,46.0
42,2.0,0.036596523330283626,44.0
41,2.0,0.036596523330283626,43.0
40,2.0,0.036596523330283626,42.0
39,1.0,0.018298261665141813,40.0
38,2.0,0.036596523330283626,39.0
37,3.0,0.05489478499542544,38.0
36,1.0,0.018298261665141813,37.0
35,2.0,0.036596523330283626,36.0
34,4.0,0.07319304666056725,35.0
33,5.0,0.09149130832570906,34.0
32,4.0,0.07319304666056725,33.0
31,6.0,0.10978956999085088,32.0
30,6.0,0.10978956999085088,31.0
29,7.0,0.1280878316559927,30.0
28,1.0,0.018298261665141813,29.0
27,7.0,0.1280878316559927,28.0
26,8.0,0.1463860933211345,27.0
25,4.0,0.07319304666056725,26.0
24,1.0,0.018298261665141813,25.0
23,4.0,0.07319304666056725,24.0
22,8.0,0.1463860933211345,23.0
21,4.0,0.07319304666056725,22.0
20,6.0,0.10978956999085088,21.0
19,4.0,0.07319304666056725,20.0
18,4.0,0.07319304666056725,19.0
17,5.0,0.09149130832570906,18.0
16,7.0,0.1280878316559927,17.0
15,10.0,0.18298261665141813,16.0
14,10.0,0.18298261665141813,15.0
13,14.0,0.2561756633119854,14.0
12,7.0,0.1280878316559927,13.0
11,8.0,0.1463860933211345,12.0
10,16.0,0.292772186642269,11.0
9,15.0,0.2744739249771272,10.0
8,22.0,0.4025617566331198,9.0
7,39.0,0.7136322049405307,8.0
6,52.0,0.9515096065873742,7.0
5,59.0,1.079597438243367,6.0
4,57.0,1.0430009149130832,5.0
3,76.0,1.3906678865507778,4.0
2,177.0,3.2387923147301003,3.0
1,719.0,13.156450137236963,2.0
0,4060.0,74.29094236047575,1.0
