,rule1,rule2,levenshtein,normalized_max,normalized_max_2,normalized_edit
0,kall1,kall1,0,0.0,1.0,1.0
88,star1,star1,0,0.0,1.0,1.0
77,shellvar,shellvar,0,0.0,1.0,1.0
66,shell,shell,0,0.0,1.0,1.0
55,othkall2,othkall2,0,0.0,1.0,1.0
44,othkall1,othkall1,0,0.0,1.0,1.0
33,kall2,kall2,0,0.0,1.0,1.0
22,kall1var2,kall1var2,0,0.0,1.0,1.0
11,kall1var1,kall1var1,0,0.0,1.0,1.0
99,star2,star2,0,0.0,1.0,1.0
54,othkall2,othkall1,4,0.0035149384885764497,0.9964850615114236,0.9964757745791777
45,othkall1,othkall2,4,0.0035149384885764497,0.9964850615114236,0.9964757745791777
1,kall1,kall1var1,61,0.04528582034149963,0.9547141796585004,0.9536735054569346
10,kall1var1,kall1,61,0.04528582034149963,0.9547141796585004,0.9536735054569346
76,shellvar,shell,85,0.10442260442260443,0.8955773955773956,0.8844119041542158
67,shell,shellvar,85,0.10442260442260443,0.8955773955773956,0.8844119041542158
21,kall1var2,kall1var1,136,0.10096510764662213,0.8990348923533779,0.8872637265245824
12,kall1var1,kall1var2,136,0.10096510764662213,0.8990348923533779,0.8872637265245824
2,kall1,kall1var2,146,0.10838901262063845,0.8916109873793615,0.8784928843480231
20,kall1var2,kall1,146,0.10838901262063845,0.8916109873793615,0.8784928843480231
36,kall2,shell,424,0.43089430894308944,0.5691056910569106,0.3371661352462133
63,shell,kall2,424,0.43089430894308944,0.5691056910569106,0.3371661352462133
37,kall2,shellvar,441,0.4481707317073171,0.551829268292683,0.2691463487291839
73,shellvar,kall2,441,0.4481707317073171,0.551829268292683,0.2691463487291839
35,kall2,othkall2,545,0.4793315743183817,0.5206684256816183,0.2889626439913529
53,othkall2,kall2,545,0.4793315743183817,0.5206684256816183,0.2889626439913529
43,othkall1,kall2,546,0.4797891036906854,0.5202108963093146,0.28748765969505413
34,kall2,othkall1,546,0.4797891036906854,0.5202108963093146,0.28748765969505413
57,othkall2,shellvar,563,0.4951627088830255,0.5048372911169745,0.07201786098490846
56,othkall2,shell,563,0.4951627088830255,0.5048372911169745,0.1061366474232224
75,shellvar,othkall2,563,0.4951627088830255,0.5048372911169745,0.07201786098490846
65,shell,othkall2,563,0.4951627088830255,0.5048372911169745,0.1061366474232224
74,shellvar,othkall1,564,0.4956063268892794,0.5043936731107206,0.07080063397002549
47,othkall1,shellvar,564,0.4956063268892794,0.5043936731107206,0.07080063397002549
46,othkall1,shell,565,0.4964850615114236,0.5035149384885764,0.10340765309163368
64,shell,othkall1,565,0.4964850615114236,0.5035149384885764,0.10340765309163368
79,shellvar,star2,600,0.5328596802841918,0.46714031971580816,0.03371439071884843
97,star2,shellvar,600,0.5328596802841918,0.46714031971580816,0.03371439071884843
59,othkall2,star2,605,0.5321020228671943,0.4678979771328056,0.31310132871780966
94,star2,othkall1,605,0.531634446397188,0.46836555360281196,0.31310132871780966
95,star2,othkall2,605,0.5321020228671943,0.4678979771328056,0.31310132871780966
49,othkall1,star2,605,0.531634446397188,0.46836555360281196,0.31310132871780966
96,star2,shell,611,0.5426287744227354,0.4573712255772647,0.049298963783296956
69,shell,star2,611,0.5426287744227354,0.4573712255772647,0.049298963783296956
39,kall2,star2,617,0.5479573712255773,0.45204262877442275,0.18615066429266264
93,star2,kall2,617,0.5479573712255773,0.45204262877442275,0.18615066429266264
32,kall2,kall1var2,630,0.4948939512961508,0.5051060487038491,0.16869532243240412
23,kall1var2,kall2,630,0.4948939512961508,0.5051060487038491,0.16869532243240412
30,kall2,kall1,651,0.48329621380846327,0.5167037861915368,0.14157085361598679
3,kall1,kall2,651,0.48329621380846327,0.5167037861915368,0.14157085361598679
31,kall2,kall1var1,655,0.4862657757980698,0.5137342242019303,0.13657498712559302
13,kall1var1,kall2,655,0.4862657757980698,0.5137342242019303,0.13657498712559302
72,shellvar,kall1var2,701,0.5506677140612726,0.4493322859387274,9.867447957847422e-05
27,kall1var2,shellvar,701,0.5506677140612726,0.4493322859387274,9.867447957847422e-05
62,shell,kall1var2,708,0.5561665357423409,0.44383346425765907,0.0012567260872569201
26,kall1var2,shell,708,0.5561665357423409,0.44383346425765907,0.0012567260872569201
98,star2,star1,719,0.5063380281690141,0.4936619718309859,0.17091571023898797
89,star1,star2,719,0.5063380281690141,0.4936619718309859,0.17091571023898797
25,kall1var2,othkall2,727,0.5710919088766693,0.4289080911233307,0.1697937639374233
52,othkall2,kall1var2,727,0.5710919088766693,0.4289080911233307,0.1697937639374233
24,kall1var2,othkall1,728,0.5718774548311076,0.42812254516889237,0.1693801374334842
42,othkall1,kall1var2,728,0.5718774548311076,0.42812254516889237,0.1693801374334842
17,kall1var1,shellvar,757,0.5619896065330364,0.43801039346696363,3.6471519702726385e-17
71,shellvar,kall1var1,757,0.5619896065330364,0.43801039346696363,3.6471519702726385e-17
7,kall1,shellvar,760,0.5642167780252413,0.4357832219747587,3.841333250305094e-20
16,kall1var1,shell,760,0.5642167780252413,0.4357832219747587,7.721599848932069e-07
70,shellvar,kall1,760,0.5642167780252413,0.4357832219747587,3.841333250305094e-20
61,shell,kall1var1,760,0.5642167780252413,0.4357832219747587,7.721599848932069e-07
60,shell,kall1,760,0.5642167780252413,0.4357832219747587,7.721599848932069e-07
6,kall1,shell,760,0.5642167780252413,0.4357832219747587,7.721599848932069e-07
58,othkall2,star1,761,0.5359154929577464,0.4640845070422535,0.13213433688738604
48,othkall1,star1,761,0.5359154929577464,0.4640845070422535,0.13284561170738035
85,star1,othkall2,761,0.5359154929577464,0.4640845070422535,0.13213433688738604
84,star1,othkall1,761,0.5359154929577464,0.4640845070422535,0.13284561170738035
40,othkall1,kall1,767,0.5694135115070527,0.4305864884929473,0.12651613307660636
4,kall1,othkall1,767,0.5694135115070527,0.4305864884929473,0.12651613307660636
5,kall1,othkall2,769,0.570898292501856,0.429101707498144,0.12372747515584305
50,othkall2,kall1,769,0.570898292501856,0.429101707498144,0.12372747515584305
29,kall1var2,star2,778,0.6111547525530243,0.38884524744697563,0.10692451252587884
92,star2,kall1var2,778,0.6111547525530243,0.38884524744697563,0.10692451252587884
15,kall1var1,othkall2,782,0.5805493689680772,0.4194506310319228,0.11049147598484452
51,othkall2,kall1var1,782,0.5805493689680772,0.4194506310319228,0.11049147598484452
14,kall1var1,othkall1,783,0.5812917594654788,0.41870824053452116,0.1101806703504541
41,othkall1,kall1var1,783,0.5812917594654788,0.41870824053452116,0.1101806703504541
83,star1,kall2,784,0.5521126760563381,0.447887323943662,0.019841094744370288
38,kall2,star1,784,0.5521126760563381,0.447887323943662,0.019841094744370288
19,kall1var1,star2,817,0.6065330363771344,0.39346696362286565,0.07107547453106779
91,star2,kall1var1,817,0.6065330363771344,0.39346696362286565,0.07107547453106779
90,star2,kall1,818,0.607275426874536,0.392724573125464,0.07023952053012954
9,kall1,star2,818,0.607275426874536,0.392724573125464,0.07023952053012954
86,star1,shell,835,0.5880281690140845,0.4119718309859155,1.855136319584571e+17
68,shell,star1,835,0.5880281690140845,0.4119718309859155,1.855136319584571e+17
78,shellvar,star1,839,0.5908450704225352,0.4091549295774648,753329.5530677657
87,star1,shellvar,839,0.5908450704225352,0.4091549295774648,753329.5530677657
82,star1,kall1var2,864,0.6084507042253521,0.39154929577464787,0.12093894619199741
28,kall1var2,star1,864,0.6084507042253521,0.39154929577464787,0.12093894619199741
8,kall1,star1,891,0.6274647887323944,0.37253521126760564,0.1417135703893586
80,star1,kall1,891,0.6274647887323944,0.37253521126760564,0.1417135703893586
18,kall1var1,star1,902,0.6352112676056338,0.3647887323943662,0.1317345597291756
81,star1,kall1var1,902,0.6352112676056338,0.3647887323943662,0.1317345597291756
